id	project_name	processed_title	processed_description	processed_labels	priority_id	type_id	status_name	topic_id	top_terms
12599231	CB	onjsalert cordovachromeclient incorrect	mistake line incubator cordova android framework src org apache cordova action cancel user click cancel button	['patch']	2	1	Closed	33	['fix', 'windows', 'line', 'problem', 'window', 'create', 'version', 'example', 'support', 'follow']
12664175	CB	custom url scheme support	phonegap support custom url scheme functionality appear cordova custom url schemes section	['features']	4	2	Closed	30	['support', 'set', 'windows', 'method', 'test', 'fix', 'window', 'open', 'new', 'follow']
12955303	CB	wrong version number window phone manifest xml	enter version attribute widget element end windows phone manifest xml go come	['build', 'easytest', 'triaged', 'wp8']	3	1	Closed	7	['version', 'issue', 'try', 'remove', 'io', 'return', 'bug', 'windows', 'method', 'fix']
12668357	CB	set new ios preference uiwebview cdvviewcontroller	set new ios preference uiwebview cdvviewcontroller parse	['ios7']	4	3	Closed	22	['try', 'open', 'issue', 'set', 'new', 'follow', 'like', 'windows', 'happen', 'remove']
12668534	CB	add note ios upgrading docs viewport issue ios		['ios7']	4	3	Closed	18	['windows', 'issue', 'function', 'support', 'example', 'application', 'project', 'bug', 'try', 'version']
13030060	CB	create apk bit arm architecture	way produce apk architecture install build android true result apk include lib file unzip build output apk test enable build apk bit architecture cdvbuildarch support additional value	['android-next', 'build', 'easyfix']	3	4	Closed	2	['test', 'update', 'support', 'set', 'window', 'create', 'return', 'line', 'follow', 'version']
12536934	CB	play audio https url work	try play audio url work fine url start audio ssl url play correctly http support	['audio', 'https', 'media']	3	1	Closed	38	['return', 'support', 'fix', 'line', 'try', 'remove', 'version', 'example', 'like', 'application']
12861165	CB	test dual use wkwebviewengine uiwebview engine single app	app compile ios sdk use plugin ios use wkwebview engine plugin use issue report issue result	['cordova-ios-4.0.x']	3	6	Closed	5	['test', 'create', 'device', 'issue', 'happen', 'open', 'version', 'function', 'update', 'try']
12994405	CB	plugin crash ios permission	plugin crash ios require usage description key issue investigate one create new issue subtask check plugin use key nsbluetoothperipheralusagedescription nscalendarsusagedescription nscamerausagedescription medium capture plugin nsmicrophoneusagedescription medium capture plugin nsmotionusagedescription accelerometer plugin nsremindersusagedescription one able set plugin install variable geolocation camera plugin nslocationalwaysusagedescription nslocationusagedescription nslocationwheninuseusagedescription	['ios', 'plugins']	3	1	Closed	37	['project', 'issue', 'version', 'new', 'create', 'function', 'windows', 'window', 'find', 'device']
12856498	CB	addeventlistener system	addeventlistener callback suppose work call system target question ask	['triaged']	4	5	Closed	5	['test', 'create', 'device', 'issue', 'happen', 'open', 'version', 'function', 'update', 'try']
12535865	CB	syntax error raise locale watch accelerometer	bug file library way format current coordinate json format kind output produce locale locale coma character separate character numeric instead instruction raise syntax error exception later bad formatting json string fix bug code getcurrentaccelerationformatted method need change private string getcurrentaccelerationformatte string resultcoordinate string accelerometer currentvalue acceleration cultureinfo invariantculture accelerometer currentvalue acceleration cultureinfo invariantculture accelerometer currentvalue acceleration cultureinfo invariantculture resultcoordinate resultcoordinate return resultcoordinate add usage cultueinfo invariantculture available system globalization namespace formatting locale	['patch']	3	1	Closed	28	['method', 'find', 'bug', 'set', 'version', 'io', 'fix', 'like', 'test', 'example']
12783557	CB	launch application portrait mode status bar come recover	follow status bar plugin version cordova ios version ios version ipadmini launch cordova app portrait upside orientation status bar band appear white space show actual status bar happen application launch portrait upside orientation reproducible believe duplicate ios device ipad mini device	['ios', 'reproduced', 'triaged']	3	1	Closed	17	['version', 'follow', 'project', 'like', 'change', 'problem', 'line', 'set', 'remove', 'bug']
13040479	CB	add downgrade android version android project	hello have galaxy ace duos android version instal cordova command line untility help npm make app run cordova run android app getting instal mobile phone show error error fail install apk device pkg local tmp android debug apk failure fail read file system think have old version compare android version instal cordova cordova have android version try remove exist android version install android version show follow error fail fetch platform probably connection problem platform spec incorrect check connection platform version url error version find cordova help regard oblige thank	['newbie']	2	3	Closed	17	['version', 'follow', 'project', 'like', 'change', 'problem', 'line', 'set', 'remove', 'bug']
12536520	CB	play media give error test case sample project try play file web url	try play file web url fail play give error url work audio tag error find examplegap project play pause option	['newbie']	1	1	Closed	39	['find', 'new', 'problem', 'try', 'follow', 'application', 'open', 'set', 'bug', 'return']
