topic_0	topic_1	topic_2	topic_3	topic_4	topic_5
0.00027856987	0.00030041955	0.047069952	0.6909249	0.26118118	0.0002450093
0.00019769311	0.12486278	0.091985784	0.72366947	0.059110463	0.00017381113
0.91372454	0.018973403	0.01973147	0.015870256	0.016249212	0.015451156
0.16947947	0.18225898	0.18915688	0.15313919	0.15680224	0.14916323
0.00029831936	0.79546654	0.00033384695	0.20336111	0.00027557847	0.00026456735
0.0008934301	0.0009633996	0.44582504	0.05184564	0.48930818	0.011164356
0.9136185	0.01900268	0.019748803	0.015891092	0.016271219	0.015467698
0.004466477	0.26365972	0.71980226	0.004026961	0.004122911	0.003921683
0.07585584	0.08163702	0.08523838	0.6202844	0.07025343	0.06673091
0.91748077	0.0067898156	0.0070621227	0.0056870235	0.0058244155	0.057155877
0.0016223628	0.99217737	0.0018158872	0.0014618594	0.0014979136	0.0014246271
0.75851035	0.0099995695	0.010393204	0.008376428	0.20456004	0.008160396
0.02853811	0.030860895	0.032064255	0.02579699	0.8576314	0.025108315
0.41805676	0.008796549	0.55105	0.0073717055	0.0075469734	0.0071780453
0.011643084	0.012541577	0.012987488	0.010496984	0.010745267	0.9415856
0.32252896	0.016822716	0.6184377	0.014077644	0.014418226	0.013714661
0.023673719	0.8858446	0.026456067	0.021347696	0.021875992	0.0208019
0.30436125	0.013691985	0.6475422	0.011473451	0.011756399	0.011174733
0.015588693	0.9246996	0.017502388	0.014084741	0.014414219	0.013710388
0.048894495	0.05263691	0.7660377	0.044167083	0.04524046	0.043023355
0.023630867	0.025537575	0.026499614	0.021366253	0.021873029	0.88109267
0.23758847	0.004661915	0.0048381295	0.003900432	0.23810938	0.5109017
0.017611135	0.018945444	0.019691281	0.01587816	0.91240937	0.015464611
0.0175835	0.018944755	0.019666761	0.015876958	0.91246384	0.015464225
0.0044592707	0.004809348	0.004990429	0.23637895	0.0041234223	0.74523854
0.8235009	0.03879549	0.040191673	0.032525092	0.033309862	0.031677015
0.03611649	0.0388275	0.04035424	0.81963694	0.033358864	0.03170599
0.010720109	0.011559793	0.012006414	0.009687441	0.9466007	0.00942558
0.26042494	0.7154524	0.0070723686	0.005686082	0.0058251177	0.005539134
0.96216553	0.008314042	0.008638926	0.006965501	0.0071351547	0.0067807822
0.020242082	0.021764234	0.02251262	0.018197395	0.018640282	0.89864343
0.18347888	0.025460506	0.72705305	0.02134474	0.021871837	0.020791003
0.010732329	0.011558599	0.65034074	0.009678702	0.009917159	0.3077725
0.0073117283	0.00787178	0.0081961965	0.2640057	0.006754456	0.70586014
0.020193907	0.6184077	0.3067755	0.018222414	0.01866175	0.017738711
0.023707947	0.025557553	0.026478397	0.021352306	0.8821257	0.020778133
0.00093630323	0.0010082301	0.0010480979	0.521162	0.00086540845	0.47497997
0.048929352	0.052616645	0.0546194	0.7556206	0.04522614	0.042987898
0.0140037695	0.93245864	0.015659088	0.012633355	0.012934198	0.0123109175
0.6985703	0.0053304387	0.2827336	0.004459282	0.0045635724	0.004342844
0.30883738	0.03079118	0.03198992	0.02579882	0.5774684	0.025114283
0.00051088707	0.00055116334	0.0005724512	0.58140266	0.4165136	0.00044928378
0.96414167	0.0078877555	0.008195638	0.0065948125	0.006756129	0.00642393
0.57857174	0.015100754	0.015698262	0.012646756	0.36567244	0.012310009
0.5015466	0.03079318	0.031915274	0.02577996	0.026393972	0.383571
0.00016157748	0.66303843	0.3363626	0.00014589334	0.00014949111	0.00014205172
0.028631685	0.030805768	0.5240433	0.3649799	0.026411278	0.025128061
0.020200783	0.021820454	0.022647556	0.018221539	0.8993642	0.017745499
0.20245637	0.021709686	0.022521641	0.018199952	0.018648338	0.716464
0.42305586	0.016791113	0.5179527	0.014075422	0.01442027	0.013704665
0.0035414272	0.003805158	0.0039498815	0.0031929095	0.0032703879	0.98224026
0.00661081	0.96812046	0.007399676	0.005959518	0.0061073843	0.0058021513
0.000323099	0.00034881567	0.00036215514	0.9983827	0.00029904852	0.00028417696
0.015639108	0.016808953	0.9253531	0.014073737	0.014409561	0.0137154935
0.0036350358	0.003913244	0.0040723775	0.003280098	0.0033592556	0.98173994
0.44573632	0.00679251	0.007074842	0.5290351	0.0058243964	0.0055367937
0.014024768	0.93235373	0.015727235	0.012639339	0.012944842	0.012310049
0.0053291833	0.43157396	0.0059580477	0.0048029493	0.0049226126	0.54741323
0.00016158917	0.54342604	0.455975	0.00014587783	0.00014947381	0.0001420404
0.8838128	0.025568532	0.026568672	0.021366077	0.021889916	0.02079407
0.023661537	0.88590384	0.026423315	0.021356268	0.021860642	0.020794354
0.0004943717	0.00053346966	0.00055453146	0.911135	0.08684796	0.00043470168
0.0051246723	0.005516645	0.005735263	0.0046250764	0.3229719	0.6560264
7.9274534e-05	0.010435486	8.878968e-05	0.93568444	0.05364232	6.97057e-05
0.048829164	0.052654706	0.76631135	0.044104118	0.04515273	0.04294792
0.010745374	0.40452877	0.012013536	0.009684278	0.009921491	0.55310655
0.8598255	0.030834936	0.031960055	0.02578652	0.026438734	0.025154214
0.01072987	0.011557787	0.011984531	0.009682459	0.946616	0.009429321
0.005127133	0.35500145	0.6259991	0.004627579	0.0047391118	0.0045056595
0.028546061	0.030698242	0.031859364	0.025766449	0.026402997	0.8567269
0.0031384649	0.0033824712	0.11601617	0.00283221	0.022945272	0.85168546
0.0003513291	0.00037899247	0.0003938834	0.9374854	0.061081443	0.0003089728
