topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13
0.00012816762	0.00013646478	0.0009869168	0.35948634	0.15282518	0.00012714682	0.48539567	0.00013561932	0.00013763952	0.00013533123	0.0001303031	0.00012941296	0.00012376918	0.000122004254
9.091135e-05	0.30176124	0.08778733	0.4011781	0.01588316	9.018728e-05	0.11134403	0.08131285	9.762987e-05	9.599264e-05	9.242608e-05	9.17947e-05	8.779146e-05	8.653958e-05
0.007986925	0.008503959	0.008907335	0.00830848	0.008369588	0.007923297	0.008065121	0.008451261	0.008577168	0.008433322	0.008119983	0.008064508	0.007712818	0.8925762
0.06943545	0.07393028	0.07743682	0.07223102	0.07276227	0.0688824	0.07011534	0.07347228	0.07456668	0.073316224	0.070592284	0.07011004	0.06705254	0.06609642
0.00013706613	0.27134115	0.00015286163	0.00014258477	0.00014363343	0.00013597443	0.10932698	0.00014503508	0.00014719558	0.61778694	0.00013934972	0.00013839774	0.00013236218	0.00013047476
0.0004104693	0.00043704157	0.16421652	0.00042699595	0.0004301367	0.00040720013	0.73191774	0.0004343341	0.00044080356	0.00043341162	0.0004173083	0.00041445758	0.0003963827	0.09921721
0.15173353	0.008504	0.008907374	0.00830853	0.00836964	0.007923337	0.008065161	0.008451322	0.008577222	0.30119208	0.00812002	0.008064545	0.0077128485	0.45607042
0.002043847	0.0021761563	0.002279376	0.0021261373	0.0021417749	0.0020275696	0.0020638616	0.0021626744	0.0021948882	0.0021580826	0.0020778999	0.0020637047	0.001973706	0.97251034
0.033078674	0.035220023	0.0368907	0.03441057	0.034663633	0.032815218	0.5570073	0.03500184	0.03552327	0.034927472	0.033629797	0.033400044	0.03194347	0.031487975
0.002883426	0.0030700834	0.003215729	0.0029995164	0.0030215797	0.776034	0.0029116576	0.0030510637	0.0030965141	0.0030445827	0.1882312	0.0029114366	0.0027844682	0.0027447639
0.00074402674	0.000792192	0.0008297678	0.00077398313	0.0007796759	0.00073810096	0.0007513123	0.0007872844	0.0007990123	0.0007856122	0.00075642293	0.9900359	0.00071849296	0.00070824736
0.0042371918	0.0045114644	0.0047254506	0.004407767	0.00444019	0.0042034225	0.004278661	0.004483513	0.0045503033	0.004473996	0.9432846	0.0042783343	0.004091755	0.004033412
0.012867082	0.82838976	0.0143499	0.013385155	0.013483612	0.012764601	0.012993091	0.013615177	0.0138179995	0.013586259	0.013081465	0.0129921	0.01242551	0.01224833
0.30182344	0.003977868	0.6522735	0.0038864322	0.003915016	0.0037062562	0.003772597	0.00395322	0.004012115	0.0039448277	0.0037982601	0.0037723111	0.0036078002	0.0035563565
0.0053044823	0.005647878	0.0059157633	0.005518051	0.005558633	0.92886776	0.005356419	0.0056128777	0.005696482	0.0056009674	0.00539286	0.005356011	0.0051224343	0.005049392
0.12122414	0.0075495383	0.007907652	0.007376013	0.007430264	0.0070340564	0.0071599633	0.545248	0.0076145343	0.0074868402	0.0072086654	0.007159423	0.0068471963	0.2527538
0.010689813	0.011381817	0.011921674	0.011120202	0.011201995	0.010604664	0.010794487	0.0113113	0.011479787	0.01128731	0.010867908	0.010793664	0.010322953	0.8562224
0.0057907007	0.0061655347	0.006457986	0.0060238196	0.006068129	0.0057445546	0.0058473786	0.92273074	0.0062186145	0.0061143297	0.005887152	0.005846936	0.005591949	0.0055122124
0.007090486	0.007549514	0.007907595	0.0073759705	0.007430216	0.0070340107	0.0071599153	0.007502729	0.9054981	0.0074867927	0.007208617	0.0071593733	0.0068471525	0.006749512
0.021711081	0.023116542	0.024213184	0.022585217	0.022751335	0.021538151	0.021923682	0.022973433	0.02331557	0.022924569	0.022072798	0.021922035	0.020965992	0.70798635
0.010689858	0.3280852	0.011921785	0.011120277	0.011202064	0.010604724	0.0107945455	0.011311382	0.011479879	0.011287358	0.010867965	0.010793721	0.010323006	0.53951824
0.0019798034	0.0021079667	0.0022079505	0.002059514	0.0020746626	0.0019640347	0.0019991887	0.0020949072	0.0021261175	0.97357756	0.0020127883	0.0019990373	0.0019118589	0.0018845975
0.007986975	0.008503999	0.008907371	0.008308529	0.89334244	0.00792334	0.008065169	0.008451313	0.008577204	0.008433371	0.008120024	0.008064552	0.0077128555	0.0076028784
0.007986947	0.008503979	0.008907337	0.008308511	0.008369636	0.007923327	0.008065151	0.008451296	0.8935502	0.008433362	0.008120009	0.008064536	0.0077128415	0.0076028677
0.0020438526	0.0021761642	0.0022793843	0.0021261447	0.002141782	0.37840012	0.32160965	0.002162683	0.002194898	0.27680442	0.002077906	0.0020637098	0.001973711	0.0019455672
0.016157988	0.017203974	0.018019948	0.016808528	0.016932154	0.016029283	0.016316196	0.017097387	0.017352073	0.01706109	0.016427193	0.016314961	0.015603466	0.78267574
0.016158026	0.017204015	0.018020047	0.016808592	0.016932234	0.016029323	0.016316244	0.017097441	0.5083069	0.017061131	0.016427236	0.016315006	0.015603506	0.29172027
0.0048935604	0.0052103545	0.00545749	0.0050905943	0.0051280386	0.0048545855	0.0049414826	0.005178074	0.005255202	0.9346906	0.004975095	0.0049411054	0.0047256234	0.0046582394
0.0028834438	0.003070104	0.003215732	0.0029995362	0.0030215986	0.002860477	0.0029116785	0.003051088	0.0030965337	0.96151763	0.0029314845	0.0029114578	0.0027844878	0.002744784
0.4990495	0.0037557576	0.003933908	0.0036694314	0.0036964205	0.0034993126	0.0035619505	0.0037324913	0.0037880868	0.4574011	0.0035861768	0.003561678	0.003406352	0.0033577802
0.0091428235	0.009734674	0.010196393	0.009510912	0.009580874	0.5904612	0.009232335	0.009674362	0.009818466	0.29658902	0.009295135	0.009231633	0.008829041	0.008703149
0.18679601	0.011381897	0.011921791	0.011120285	0.011202081	0.010604748	0.010794568	0.6812508	0.011479882	0.01128737	0.010867991	0.010793753	0.010323032	0.010175833
0.0048936005	0.005210395	0.73130435	0.0050906283	0.005128074	0.2085307	0.00494152	0.005178115	0.005255259	0.00516711	0.004975139	0.004941157	0.0047256635	0.004658276
0.0033408708	0.0035571477	0.003725876	0.003475386	0.0035009466	0.36623248	0.0033735873	0.0035351068	0.003587771	0.0035275975	0.5923635	0.0033733293	0.0032262169	0.0031802123
0.009142769	0.009734637	0.01019637	0.009510887	0.009580836	0.009069953	0.009232304	0.009674332	0.009818448	0.0096537825	0.009295102	0.009231599	0.008829008	0.87702996
0.010689833	0.011381858	0.011921716	0.011120237	0.011202031	0.010604689	0.010794513	0.011311347	0.857526	0.011287328	0.010867939	0.010793691	0.010322977	0.010175826
0.0004300269	0.00045786495	0.00047958354	0.0004473409	0.0004506313	0.0004266019	0.0004342377	0.359464	0.00046180654	0.6352519	0.0004371918	0.00043420526	0.00041526905	0.0004093474
