id	project_name	processed_title	processed_description	processed_labels	priority_id	type_id	status_name	topic_id	top_terms
12498670	CASSANDRA	eofexception query	report jonas borgstrom mailing list quote test new release get follow exception error line error threadpoolexecutor ioerror eofexception cause eofexception quote	['eof']	10002	1	Resolved	1	['sstable', 'time', 'node', 'datum', 'compaction', 'exception', 'new', 'cause', 'table', 'write']
12513477	CASSANDRA	allow map reduce use server query filter	currently run mapreduce job datum cassandra data store read datum particular columnfamily optimize read row query	['hadoop']	10000	2	Resolved	7	['datum', 'lib', 'compaction', 'node', 'line', 'value', 'write', 'column', 'start', 'time']
12951333	CASSANDRA	dt failure	flap frequently trunk message trace code error message mar miss remainder begin capture log end capture log begin capture log end capture log code	['dtest']	10002	4	Resolved	4	['log', 'line', 'cqlsh', 'message', 'create', 'add', 'end', 'value', 'noformat', 'column']
12916743	CASSANDRA	allow literal value parameter udf uda	define follow udf code sql create replace function int testvalue int return null null input return int language java return testvalue create table int primary key val int insert val select maxvalue code get follow error message code syntaxexception code nice allow literal value parameter udf uda think use case uda groupby function end user inject runtime literal value select aggregation want display similar group have	['cql3', 'udf', 'doc-impacting']	10003	4	Resolved	0	['noformat', 'key', 'row', 'table', 'column', 'create', 'log', 'set', 'query', 'line']
12539666	CASSANDRA	need fork language document	language doc doc cql need fork update accordingly	['cql']	10002	7	Resolved	3	['sstable', 'compaction', 'read', 'row', 'noformat', 'node', 'write', 'thread', 'change', 'column']
12712423	CASSANDRA	fail	bisect	['qa-resolved']	10003	4	Resolved	4	['log', 'line', 'cqlsh', 'message', 'create', 'add', 'end', 'value', 'noformat', 'column']
12994675	CASSANDRA	dt failure	example failure	['dtest']	10002	4	Resolved	4	['log', 'line', 'cqlsh', 'message', 'create', 'add', 'end', 'value', 'noformat', 'column']
12533701	CASSANDRA	cache save break window	break cache save windows	['windows']	10003	1	Resolved	4	['log', 'line', 'cqlsh', 'message', 'create', 'add', 'end', 'value', 'noformat', 'column']
13129753	CASSANDRA	dtest trunk flaky fail assert value max	dtest flaky testing far current know observe failure run trunk test fail assert code assertionerror value max code follow circleci run example dtest run fail test fail assert comment error optional margin error default obvious note default magical number look like commit big bulk commit sean mccarthy find jira history magic allow delta share	['dtest']	10002	1	Resolved	7	['datum', 'lib', 'compaction', 'node', 'line', 'value', 'write', 'column', 'start', 'time']
12759729	CASSANDRA	standalone scrubber break lcs	compaction strategy column family instanceof leveledcompactionstrategy check manifest	['lcs']	10003	1	Resolved	7	['datum', 'lib', 'compaction', 'node', 'line', 'value', 'write', 'column', 'start', 'time']
12997284	CASSANDRA	dt failure	example failure code error message unable connect server return server explicitly set client begin capture log end capture log begin capture log end capture log standard output git git git code	['dtest']	10002	4	Resolved	4	['log', 'line', 'cqlsh', 'message', 'create', 'add', 'end', 'value', 'noformat', 'column']
12779090	CASSANDRA	randomaccessreader share filechannel instance segmentedfile	good reason open filechannel simplify randomaccessreader thin wrapper	['performance']	10002	4	Resolved	4	['log', 'line', 'cqlsh', 'message', 'create', 'add', 'end', 'value', 'noformat', 'column']
12965715	CASSANDRA	incremental repair fail	produce see incremental repair fail error create multiple repair session overlap sstable happen following setup node datacenter vnode enable leveled compaction relevant table stcs instead hit issue slightly relate case opscenter repair service run repair sequentially let know information provide	['lcs']	10002	1	Resolved	1	['sstable', 'time', 'node', 'datum', 'compaction', 'exception', 'new', 'cause', 'table', 'write']
