topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39
0.004770927	0.004854097	0.005052657	0.004878535	0.0049548703	0.004994789	0.0048022666	0.00478725	0.004787393	0.004720849	0.004804701	0.004787523	0.004870818	0.0047373865	0.0048542074	0.0048232307	0.004922036	0.0048219673	0.004855362	0.004854237	0.004803435	0.004868651	0.0047711614	0.004831592	0.8106635	0.0047723125	0.0048727538	0.004787421	0.004820184	0.004753706	0.004875136	0.005091343	0.004937533	0.0048225676	0.004838187	0.004972034	0.004838783	0.0048527014	0.0051039653	0.0047878423
0.0012487874	0.001270557	0.0013225299	0.0012769536	0.0012969343	0.0013073832	0.0012569905	0.00125306	0.0012530972	0.0012356795	0.0012576277	0.0012531313	0.0012749338	0.001240008	0.0012705859	0.0012624778	0.0012883401	0.0012621471	0.0012708883	0.0012705937	0.0012572963	0.0012743665	0.0012488486	0.0012646663	0.9504413	0.00124915	0.0012754403	0.0012531045	0.0012616803	0.0012442798	0.001276064	0.001332656	0.0012923963	0.0012623043	0.0012663925	0.001301427	0.0012665485	0.0012701917	0.0013359599	0.0012532149
0.0009121074	0.0009280078	0.7408753	0.00093267986	0.0009472737	0.00095490547	0.0009180989	0.00091522804	0.00091525534	0.0009025335	0.22389011	0.0009152802	0.0009312046	0.0009056951	0.00092802895	0.00092210685	0.00094099646	0.0009218653	0.00092824973	0.00092803466	0.0009183223	0.0009307903	0.0009121522	0.00092370535	0.00092171115	0.00091237226	0.0009315747	0.0009152607	0.0009215243	0.00090881507	0.00093203015	0.0009733647	0.00094395917	0.00092198007	0.0009249661	0.00095055514	0.0009250801	0.00092774106	0.00097577774	0.00091534125
0.02457245	0.025000812	0.026023487	0.025126679	0.02551984	0.025725443	0.024733862	0.024656521	0.024657255	0.024314526	0.024746401	0.024657926	0.025086934	0.0243997	0.02500138	0.024841838	0.02535073	0.02483533	0.02500733	0.025001535	0.02473988	0.025075773	0.024573656	0.024884902	0.024831178	0.024579586	0.025096903	0.0246574	0.024826143	0.024483753	0.025109174	0.02622274	0.025430545	0.024838421	0.024918867	0.025608243	0.024921939	0.024993625	0.026287748	0.02465957
0.0034007109	0.0034599942	0.0036015273	0.0034774134	0.003531825	0.0035602795	0.0034230496	0.003412346	0.0034124474	0.0033650154	0.0034247849	0.0034125403	0.003471913	0.0033768031	0.0034600727	0.0034379927	0.0035084211	0.003437092	0.003460896	0.003460094	0.0034238824	0.0034703682	0.0034008776	0.0034439526	0.0034365177	0.0034016983	0.0034732926	0.0034124674	0.0034358208	0.0033884356	0.0034749908	0.003629103	0.003519467	0.00343752	0.0034486533	0.16693643	0.0034490784	0.0034589993	0.0036380999	0.70162517
0.007990447	0.008129741	0.008462293	0.00817067	0.008298518	0.008365376	0.008042934	0.008017785	0.008018023	0.007906575	0.008047012	0.008018241	0.008157746	0.007934272	0.0081299255	0.008078045	0.008243527	0.008075929	0.00813186	0.008129976	0.008044892	0.008154117	0.007990839	0.0080920495	0.6828955	0.007992767	0.008160988	0.008018071	0.0080729425	0.007961605	0.008164978	0.008527086	0.008269481	0.008076935	0.008103094	0.008327264	0.008104092	0.008127403	0.008548225	0.008018777
0.0023767892	0.002418223	0.0025171419	0.0024303976	0.0024684262	0.0024883132	0.002392402	0.002384921	0.002384992	0.0023518414	0.002393615	0.002385057	0.002426553	0.00236008	0.002418278	0.002402846	0.002452069	0.0024022164	0.0024188533	0.002418293	0.0023929842	0.0024254736	0.0023769059	0.0024070113	0.90567607	0.0023774796	0.0024275174	0.0023850063	0.002401328	0.00236821	0.0024287044	0.0025364147	0.0024597892	0.0024025156	0.0024102968	0.0024769772	0.002410594	0.0024175278	0.0025427027	0.002385216
0.0039709327	0.0040401565	0.0042054215	0.0040604966	0.004124032	0.0041572573	0.003997017	0.0039845183	0.003984637	0.003929252	0.0039990433	0.0039847456	0.0040540737	0.003943016	0.004040248	0.004014466	0.0040967036	0.004013414	0.0040412094	0.0040402734	0.0039979895	0.00405227	0.0039711273	0.0040214253	0.8424117	0.0039720857	0.004055685	0.003984661	0.0040119295	0.003956599	0.0040576677	0.004237621	0.0041096015	0.004013914	0.004026914	0.004138318	0.0040274104	0.0040389947	0.0042481264	0.0039850115
0.012059427	0.012269654	0.0127715515	0.012331425	0.012524378	0.012625281	0.012138643	0.012100686	0.012101047	0.011932845	0.012144797	0.0121013755	0.01231192	0.011974646	0.012269933	0.012191634	0.012441383	0.01218844	0.0122728525	0.5214998	0.0121415965	0.0123064425	0.012060018	0.012212768	0.012186402	0.012062929	0.012316813	0.0121011175	0.012183932	0.012015897	0.012322835	0.012869339	0.012480554	0.012189957	0.012229438	0.012567762	0.012230945	0.012266126	0.012901244	0.012102183
0.0026419489	0.37138015	0.34255183	0.0027015377	0.0027438093	0.002765915	0.0026593034	0.002650988	0.002651067	0.0026142178	0.0026606517	0.002651139	0.0026972645	0.0026233755	0.002688066	0.0026709125	0.002725627	0.0026702129	0.0026887057	0.0026880829	0.0026599506	0.0026960645	0.0026420786	0.0026755428	0.0026697665	0.002642716	0.0026983365	0.0026510826	0.0026692252	0.0026324126	0.0026996557	0.0028193826	0.0027342085	0.0026705454	0.0026791946	0.18679059	0.0026795247	0.0026872323	0.0028263722	0.0026513159
