assignee_id
1888
1888
6308
8306
8306
1888
8306
8306
2231
2231
6308
8784
2231
6308
6308
8306
8784
8784
6308
1888
8306
2231
1888
1888
2231
1888
1888
2231
8784
8784
2231
8784
8306
8784
8306
1888
1888
8306
8306
8306
2231
2231
1888
8784
1888
6308
8784
8784
6308
8306
8306
2231
8306
6308
2231
6308
6308
8306
6308
8306
1888
2231
8306
2231
6308
8306
1888
2231
6308
8784
1888
8784
8306
2231
1888
6308
2231
2231
8306
8784
8784
6308
8306
6308
8784
2231
8784
6308
2231
6308
2231
1888
2231
2231
2231
8784
2231
6308
1888
1888
1888
2231
2231
6308
1888
6308
8784
6308
8306
6308
2231
2231
8784
2231
8784
8784
8784
8784
8784
8306
6308
6308
8306
6308
8306
2231
1888
1888
8784
6308
6308
2231
6308
8784
8306
2231
8784
8306
8784
8306
8784
6308
8306
2231
2231
6308
6308
8784
1888
6308
2231
6308
6308
1888
2231
8784
6308
8784
8784
8784
8784
2231
1888
8784
1888
2231
8784
2231
8306
8306
2231
8306
6308
8306
1888
8784
1888
2231
8306
6308
2231
1888
1888
1888
6308
2231
8306
8306
6308
2231
1888
8306
8306
8306
6308
1888
8306
6308
8306
8784
1888
8306
8784
2231
6308
8784
6308
6308
2231
6308
1888
1888
1888
8306
6308
8784
1888
8306
6308
8306
8306
6308
8784
2231
1888
2231
2231
1888
1888
8306
1888
2231
1888
8784
8784
6308
8306
8784
6308
6308
6308
8306
8784
8306
8784
8784
8306
8306
6308
6308
1888
6308
6308
8306
8306
2231
1888
1888
1888
2231
6308
1888
8306
2231
8784
1888
8784
8306
8306
1888
8306
2231
8306
6308
8784
8784
2231
8306
8784
8306
8306
1888
1888
6308
6308
8784
6308
6308
1888
1888
8784
6308
8306
1888
8306
6308
8306
6308
8306
8784
8306
8306
2231
2231
2231
8784
2231
8784
2231
8784
6308
2231
8784
1888
6308
1888
2231
8306
8784
2231
