id	project_name	processed_title	processed_description	processed_labels	priority_id	type_id	status_name	topic_id	top_terms
13052791	IMPALA	improve calculation	serialize row batch row batch materialize slot allocate array tuple mean serialization overhead tuple row currently consider overhead calculate consequently avgrowsize example decide input broadcast distribute account overhead change affect plan query small avgrowsize multiple tuple join	['performance', 'planner']	3	4	Resolved	13	['join', 'row', 'memory', 'partition', 'need', 'column', 'kudu', 'src', 'inner', 'hdfs']
13053783	IMPALA	incorrect assignment clause predicate grouping aggregation outer join	thank user list report original post repro table datum code create table int int insert table order create table int state string insert table address code repro query bad plan code select select select order left outer join shuffle select state address group unf explain string estimate host requirement warning follow table miss relevant table column statistic exchange unpartitioned aggregate finalize output count group exchange aggregate output group state hash join left outer join partitioned hash predicate exchange scan hdfs predicate assign node exchange scan hdfs code workaround use inner join instead left outer join query meaning	['correctness', 'downgraded']	2	1	Resolved	17	['insert', 'create', 'user', 'column', 'partition', 'row', 'string', 'message', 'hdfs', 'change']
13052770	IMPALA	join build thread report queryresourcemanager	cpu intensive thread suppose allocate threadresourcemgr track total number thread allocate query host enable thread need report queryresourcemgr additional vcpu request yarn block join operator currently attempt thread threadresourcemgr allocate report queryresourcemgr result impala vcpu allocate yarn unfortunately fix involved simply report thread qrm cause child scan node starve thread suppose cause query hang start scan thread quick fix involve change way scan node handle scanner thread consider rethink cpu thread management duality present threadresourcemgr queryresourcemgr	['query-lifecycle', 'resource-management']	3	1	Resolved	9	['set', 'kudu', 'thread', 'impalad', 'execute', 'scan', 'failure', 'crash', 'log', 'cause']
13054881	IMPALA	lzo scanner fail read large index file	lzo scanner expect index file multiple loop read file time multiple process buffer byte time work fine hdfs hdfs return entire buffer request internal read rely stream send byte currently available mean byte read multiple currently cause scanner throw error case need modify lzo scanner logic carry byte time process remain byte newly fill buffer	['lzo']	2	1	Resolved	4	['time', 'fragment', 'hdfs', 'impalad', 'log', 'follow', 'include', 'add', 'src', 'int']
13053977	IMPALA	allow secondary filesystem configure	run test filesystem time allow secondary filesystem configure transfer filesystem partition different filesystem etc impala involve infrastructure change impala fully support	['s3', 'test-infra', 'usability']	3	3	Resolved	17	['insert', 'create', 'user', 'column', 'partition', 'row', 'string', 'message', 'hdfs', 'change']
13055656	IMPALA	change default parquet array resolution accord parquet standard	introduce query option control field resolution behavior scan parquet file nest array current default strategy currently try auto detect array encoding parquet file strategy subtly wrong return incorrect result inherent ambiguity level encoding scheme parquet switch default resolution strategy accord parquet standard level encoding instead current auto detect	['include-in-v3', 'incompatibility']	3	4	Resolved	14	['user', 'insert', 'datum', 'result', 'create', 'return', 'join', 'hdfs', 'time', 'need']
13053286	IMPALA	allow work filesystem	expect underlie filesystem use hdfs change filesystem agnostic big problem staging temporary file rename final destination support rename need choose option mention parent jira work well solution	['s3']	3	7	Resolved	13	['join', 'row', 'memory', 'partition', 'need', 'column', 'kudu', 'src', 'inner', 'hdfs']
13131955	IMPALA	find reliable way detect support tls version	problem brief build old version openssl run high version openssl ssleay function suppose return runtime version openssl return compile time version openssl instead version actually run version compatibility check code allow use certain platform specifically rhel build openssl run centos system openssl file bug rhel	['security']	1	1	Resolved	14	['user', 'insert', 'datum', 'result', 'create', 'return', 'join', 'hdfs', 'time', 'need']
13414816	IMPALA	create documentation impala iceberg support	impala iceberg support greatly evolve past year start document publicize	['impala-iceberg']	3	20	Resolved	7	['value', 'start', 'create', 'kudu', 'crash', 'null', 'cause', 'default', 'execute', 'memory']
13591177	IMPALA	schema resolution work migrate partition iceberg table complex type	schema resolution work correctly migrate partition iceberg table complex type face parquet orc file iceberg table field ids file metadata assume old data file migration schema mimic iceberg field generation assign field ids file schema element process partition column account matter complex type table partition column column legacy hive table field id assign bfs like traversal primitive type table problem child complex type column assign incorrectly	['impala-iceberg']	3	1	Resolved	16	['false', 'column', 'kudu', 'common', 'partition', 'add', 'like', 'find', 'need', 'memory']
13055552	IMPALA	force thrift initialize ssl process startup	thrift currently initialize openssl lazily connection create openssl initialization happen kudu library kudu initialization check openssl initialization occur thrift need initialization startup	['kudu', 'ssl', 'thrift']	2	7	Resolved	9	['set', 'kudu', 'thread', 'impalad', 'execute', 'scan', 'failure', 'crash', 'log', 'cause']
13140804	IMPALA	fail cancel	noformat false text python ubuntu impala python env bin python metadata column metadata col perc seed common execute return user user beeswax execute handle user user beeswax beeswax raise abort impalabeeswaxexception impalabeeswaxexception query abort cancel capture stderr setup connect set false execute drop database exists cascade set false execute create database mainthread create database test metadata false text capture stderr execute set execute use functional execute describe format execute create external table like location test warehouse alltype execute alter table recover partition execute compute stat tablesample system repeatable fail pass skip xfaile second noformat probably introduce diskiomgr patch fix failure similar symptom early cause race scanner thread main thread issue range lead diskiomgr method return cancelled sure similar race possible scan node	['broken-build']	1	1	Resolved	11	['execute', 'user', 'set', 'value', 'common', 'return', 'false', 'handle', 'jenkin', 'create']
13351493	IMPALA	use iceberg fix partition transform	currently iceberg time date partition transform wrong datum epoch iceberg pull request becauce bug impala prune iceberg partition predicate refer timestamp epoch pull request merge need update iceberg dependency	['impala-iceberg']	3	1	Resolved	13	['join', 'row', 'memory', 'partition', 'need', 'column', 'kudu', 'src', 'inner', 'hdfs']
13055209	IMPALA	kudu test failure error message change	error message change break impala test example code test range partitioning overlap partition create table int string valf float vali bigint primary key distribute range partition value second range partition find actual impalabeeswaxexception inner exception message impalaruntimeexception error create kudu table nonrecoverableexception overlap range partition range partition values message impalaruntimeexception error create kudu table nonrecoverableexception key column type bool float double code test native toolchain build update toolchain version block	['kudu']	1	1	Resolved	17	['insert', 'create', 'user', 'column', 'partition', 'row', 'string', 'message', 'hdfs', 'change']
13052871	IMPALA	set query option override query pool rule	set query option override query queue rule specify config example rule user rule specify queue root query option set	['llama', 'ramp-up', 'resource-management']	3	1	Resolved	1	['set', 'jenkin', 'execute', 'time', 'service', 'false', 'kudu', 'log', 'return', 'result']
13053316	IMPALA	handle exception throw tsslsocket	handle exception tsasltransport throw thrift transport protocol lead	['impala', 'security']	3	1	Resolved	3	['string', 'impalad', 'datum', 'memory', 'handle', 'int', 'row', 'join', 'cause', 'column']
13094905	IMPALA	compute stats use default	completely address run compute stats default regardless file format motivation consistency speed compute stats case task continuation	['compute-stats']	3	7	Resolved	7	['value', 'start', 'create', 'kudu', 'crash', 'null', 'cause', 'default', 'execute', 'memory']
13123363	IMPALA	crash incorrect result cpu	instance use different hypervisor instance datum loading fail interesting snippet end impalad log noformat exec stmt create table select concat string string string string string string string string string string string string string string string inner join shuffle group check fail noformat error log show noformat check fail check failure stack trace clone pick jdwp transport suspend noformat reproduce start space noformat sudo apt update sudo apt install git git init pushd git fetch master git checkout tee mktemp noformat need fiddle default security group sure test script work	['correctness', 'crash']	1	1	Resolved	3	['string', 'impalad', 'datum', 'memory', 'handle', 'int', 'row', 'join', 'cause', 'column']
13052179	IMPALA	dcheck failure produce tuple decimal slot agg return double	dcheck failure aggfnevaluator intermediate tuple decimal slot result agg return double query code select order month rows precede unbounded following alltypestiny code stack code raise raise abort src src src src src query gen impala src exprs agg query gen impala src exec analytic eval query gen impala src runtime plan fragment query gen impala src runtime query gen impala src service query exec query gen impala src service query exec query gen impala src service impala query gen impala src service impala query gen impala src service impala query gen impala generate source gen cpp query gen impala generate source gen cpp query gen impala generate source gen cpp query gen impala thirdparty build include thrift src thrift server src thrift concurrency src thrift concurrency query gen impala src rpc thrift include boost bind operator include boost bind operator include boost bind include boost function include boost function server query gen impala src util operator void const const int include boost bind include boost bind include boost thread detail clone code functional file format text git hash	['correctness', 'query_generator']	1	1	Resolved	8	['src', 'include', 'operator', 'runtime', 'service', 'function', 'fragment', 'int', 'plan', 'crash']
13054188	IMPALA	generate code coverage report unit test	follow option get code coverage test run clover commercial cobertura free jacoco free tool somewhat similar integrate maven get unit integration test coverage jacoco like clear winner runtime instrumentation base java agent mean easy code coverage end end pytest stress test random query test task use jacoco unit test coverage	['test-infra']	3	2	Resolved	15	['row', 'string', 'need', 'return', 'insert', 'runtime', 'create', 'column', 'partition', 'src']
13053709	IMPALA	reopenclient null cause crash	run stress test custom patch hit crash dorpc following stack code java stack free native frame compile java code interpret code native code const const const const bool void operator void const void const const const bool void operator const const void operator void const const code look disassembly fail code java dump assembler code function const const push rbp mov push push push rbx sub mov mov mov mov mov cmpq sete movzbl mov mov test const const lea mov lea mov callq mov lea mov callq lea mov callq mov lea mov callq mov lea mov mov callq test test const const nop lea continue mov callq nop mov mov test jne const const mov mov jmp const const mov mov mov mov add mov mov mov sub add mov mov mov mov mov lea mov mov mov callq rax mov mov callq code point client class clientconnection rdx rdx null cause crash odd reasonable explanation happen crash occur immediately happen remote node unreachable condition follow run happen hour currently relate patch like patch expose exist bug dig cause crash know reason update information crash patch patch	['crash']	1	1	Resolved	7	['value', 'start', 'create', 'kudu', 'crash', 'null', 'cause', 'default', 'execute', 'memory']
13410920	IMPALA	flaky failure	test fail recent gvo job dockerise stacktrace noformat metadata metadata result metadata exec return common wrapper return kwargs common result query user common return user user common execute return user user beeswax execute handle user user beeswax handle user user beeswax handle beeswax raise impalabeeswaxexception impalabeeswaxexception inner exception message analysisexception tableloadingexception error open iceberg table cause tableloadingexception error open iceberg table cause inconsistentmetadatafetchexception catalog object table table change version access noformat reach zoltan mention probably failure detect self event iceberg table result change catalog version table operation	['broken-build', 'flaky-test']	2	1	Resolved	6	['jenkin', 'join', 'user', 'return', 'result', 'common', 'set', 'limit', 'int', 'row']
13055191	IMPALA	compute stats parquet table use default	compute stats parquet table run default compute stats non parquet table run user override behavior set manually set mean statement run conventional execution mode intra node paralellism base multiple fragment instance	['multithreading']	2	7	Resolved	9	['set', 'kudu', 'thread', 'impalad', 'execute', 'scan', 'failure', 'crash', 'log', 'cause']
