id	project_name	processed_title	processed_description	processed_labels	priority_id	type_id	status_name	topic_id	top_terms
13558460	HIVE	llap reuse filesystem object cache different task llap daemon	originally task runner add apache hive llap server src java org apache hadoop hive llap daemon impl comment reason scope simply add apache hive basically apache hadoop hadoop common project hadoop common src main java org apache hadoop delete path mark delete exit remove instance cache see apache hive blob llap server src java org apache hadoop hive llap daemon impl code java code end task attempt completely disable hadoop filesystem cache long run llap daemon lifecycle investigation azure show create filesystem expensive involve recreation object hierarchy like code java azureblobfilesystem azureblobfilesystemstore abfsclient code end ping token auth endpoint azure lead http response area affect patch aw sdk discover performance degradation github issue imply problem look screenshot screenshot reference mean prove perf degradation visible wall clock profiling problematic codepath introduce aws sdk visible additionally deleteonexit refer need check remove closeallforugi llap additionally check remove deleteonexit call belong hadoop filesystem object necessarily apply call code java grep deleteonexit grep test src java org apache hadoop hive exec recent hadoop version use deleteonexit clean tmp file src java org apache hadoop hive exec autodelete src java org apache hadoop hive exec repl bootstrap load util src java org apache hadoop hive exec persistence src java org apache hadoop hive exec persistence src java org apache hadoop hive exec persistence src java org apache hadoop hive exec persistence src java org apache hadoop hive exec persistence src java org apache hadoop hive exec autodelete code believe deleteonexit fine want bother remove temp file deletion want hive specific scope want reuse cache filesystem safe manner	['pull-request-available']	3	4	Resolved	29	['apache', 'java', 'test', 'datum', 'like', 'run', 'method', 'support', 'remove', 'map']
13472857	HIVE	configurable timeout hivesplitgenerator wait llap instance	circumstance guarantee llap daemon ready soon tez ams want query fail immediately code cause illegalargumentexception run llap daemon check llap service status zookeeper configuration code	['pull-request-available']	3	4	Closed	7	['default', 'insert', 'issue', 'error', 'cause', 'load', 'run', 'test', 'enable', 'value']
13211976	HIVE	default keyword handling merge update clause issue	land enable hiveconf run test mvn test testminillaplocalclidriver merge rewrite multi insert update clause default properly replace value muli insert treat literal noformat insert update select default call handleinsert handleupdate issue fix hiveconf true default	['pull-request-available']	3	7	Resolved	7	['default', 'insert', 'issue', 'error', 'cause', 'load', 'run', 'test', 'enable', 'value']
13187232	HIVE	hive return error code triable error	case network issue load return non retry able error code scenario copy file repl load find source reachable go copy retry retye get file checksum fail network issue assume source file present retry copy try path retry network recover path file find cause return non retry able error	['pull-request-available']	3	1	Closed	10	['set', 'file', 'source', 'error', 'replication', 'case', 'load', 'true', 'cause', 'property']
13217723	HIVE	hive replication retain owner replicate table	hive replication retain owner replicated table owner target table set user execute load command user information read dump metadata create table target cluster	['pull-request-available']	3	1	Resolved	10	['set', 'file', 'source', 'error', 'replication', 'case', 'load', 'true', 'cause', 'property']
13482017	HIVE	improve txnhandler txnutils compactiontxnhandler log	txnhandler bad logging like code execute query code involve pretty unnecessary string concatenation production info level usually let use string format	['pull-request-available']	3	4	Closed	11	['need', 'time', 'noformat', 'use', 'case', 'string', 'property', 'log', 'iceberg', 'default']
13393197	HIVE	null bit vector handle get stat postgres backend	add stat null bit vector special string add postgres support null value byte column get stat conversion null cause failure deserialisation bit vector field exist stat merge code java input stream hyperloglog stream instead code	['pull-request-available']	3	7	Resolved	3	['column', 'string', 'type', 'value', 'datum', 'null', 'case', 'map', 'java', 'partition']
13161970	HIVE	repl copy retry path failure network issue	repl load filesystem base copying file copy fail connection error source node recreate filesystem object retry logic local file copy trigger original source file path root path failure network issue dfsclient list file table partition include file add retry logic failure occur filesystem object recreate exist inconsistent state	['pull-request-available']	3	3	Closed	10	['set', 'file', 'source', 'error', 'replication', 'case', 'load', 'true', 'cause', 'property']
13519846	HIVE	iceberg ctlt create external table like table preserve table property	create external iceberg table create external table like end create table format retain parquet retain	['pull-request-available']	3	4	Closed	1	['new', 'value', 'iceberg', 'source', 'partition', 'map', 'need', 'replication', 'case', 'java']
13551379	HIVE	iceberg metadata location override cause datum breach	set bug blocker instead enhancement security relate nature release fix reset need context core table sensitive datum user query datum masking enforce ranger let assume table end user access mask form sensitive datum expect user privilege create new table sandbox database let assume table user create malicious table expose sensitive datum non masked lead possible data breach hive run doas false able enforce fgac prevent end user direct file system access need repro sure datum secure masking policy noformat beeline drop table exists purge create external table txt string secret string store iceberg insert values allow allow beeline select allow masked ranger security noformat let user create malicious table expose sensitive datum noformat jline unsupportedterminal beeline describe format null awk print beeline drop table exists create external table txt string secret string store iceberg tblproperties select allow allow noformat currently rwstorage authorization dummy path explicit path set uri noformat permission deny user oozie rwstorage privilege permission deny user oozie rwstorage privilege noformat custom location pass authorizer noformat info driver handler pool compile create external table txt string secret string store iceberg tblproperties warehouse tablespace external hive policytest debug hiveicebergstoragehandler handler pool iceberg storage handler authorization uri noformat mandatory change require secure table custom location need pass authorizer changes require usability eliminate need require policy table default location need calculate base warehouse database def location create alter default location involve rwstorage authorization handle special way authorizer	['check']	3	1	Closed	18	['type', 'store', 'error', 'column', 'string', 'iceberg', 'int', 'noformat', 'cause', 'insert']
