topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69
0.00028982584	0.00028980646	0.00029077983	0.0002980463	0.3205337	0.0002907734	0.00028986408	0.00028876454	0.0002898366	0.0002927108	0.00028886858	0.0002879047	0.000287885	0.0002927335	0.0002869307	0.0002898323	0.00028885275	0.00029370753	0.0002946318	0.00028981635	0.0002869307	0.00029079514	0.0002928009	0.00029081057	0.0002945867	0.00029174963	0.00028885063	0.00028884038	0.00028885267	0.65965456	0.00029468568	0.0002898172	0.0002927053	0.000293703	0.00029661582	0.00029367433	0.0002898097	0.00029078152	0.0002898284	0.0002898835	0.00028887653	0.000296575	0.0002908034	0.00029176037	0.0002907809	0.00029755718	0.00029178322	0.0002908181	0.00028981376	0.00029274786	0.00029466974	0.00029077625	0.00029176194	0.00029366187	0.00028884085	0.00028984208	0.000290798	0.0002917473	0.00029173642	0.00029272388	0.00029074293	0.0002946169	0.0002917486	0.00028981888	0.0002888301	0.00029461968	0.00029179253	0.0002956323	0.00029165912	0.0002869307
0.003495171	0.0034949374	0.0035066758	0.0035943063	0.0035001293	0.0035065985	0.0034956322	0.0034823725	0.0034953011	0.0035299626	0.0034836272	0.0034720032	0.0034717654	0.0035302362	0.003460257	0.0034952492	0.0034834363	0.0035419825	0.003553129	0.0034950569	0.003460257	0.0035068607	0.003531049	0.0035070465	0.0035525851	0.0035183711	0.2548372	0.0034832868	0.0034834351	0.0035185963	0.0035537786	0.003495067	0.0035298965	0.0035419278	0.0035770552	0.0035415823	0.0034949766	0.0035066963	0.003495202	0.0034958664	0.003483723	0.003576563	0.0035069603	0.0035185006	0.5062131	0.0035884078	0.0035187763	0.0035071375	0.0034950254	0.0035304094	0.0035535865	0.0035066328	0.0035185197	0.003541432	0.0034832926	0.003495367	0.003506895	0.003518343	0.003518212	0.0035301202	0.0035062307	0.0035529493	0.003518359	0.0034950871	0.003483163	0.0035529826	0.0035188887	0.0035651943	0.0035172796	0.003460257
0.0007734475	0.0007733958	0.0007759934	0.00079538516	0.0007745447	0.0007759763	0.00077354955	0.0007706153	0.0007734763	0.0007811466	0.00077089295	0.0007683207	0.000768268	0.00078120705	0.0007657214	0.0007734648	0.0007708507	0.00078380643	0.00078627304	0.0007734222	0.0007657214	0.0007760343	0.000781387	0.0007760754	0.00078615267	0.0007785815	0.000770845	0.0007708176	0.00077085046	0.0007786313	0.0007864168	0.00077342446	0.0007811319	0.0007837943	0.00079156767	0.00078371784	0.9463493	0.00077599793	0.0007734543	0.0007736014	0.00077091414	0.0007914587	0.0007760564	0.0007786101	0.00077599625	0.00079407985	0.0007786711	0.00077609555	0.00077341526	0.0007812454	0.00078637426	0.0007759839	0.00077861437	0.0007836846	0.00077081897	0.0007734909	0.0007760419	0.00077857525	0.0007785462	0.0007811814	0.0007758949	0.0007862333	0.00077857875	0.00077342894	0.0007707902	0.0007862406	0.000778696	0.00078894297	0.0007783399	0.0007657214
0.0008190018	0.00081894704	0.00082169764	0.00084223156	0.00082016364	0.00082167954	0.00081910985	0.0008160028	0.0008190323	0.0008271543	0.0008162968	0.000813573	0.0008135173	0.0008272184	0.00081082067	0.0008190201	0.000816252	0.0008299709	0.00083258277	0.00081897504	0.00081082067	0.00082174095	0.00082740886	0.0008217845	0.0008324553	0.0008244381	0.000816246	0.00081621704	0.0008162518	0.0008244909	0.000832735	0.00081897737	0.0008271388	0.000829958	0.94320863	0.00082987704	0.00081895624	0.0008217024	0.00081900903	0.00081916474	0.00081631925	0.00083807384	0.0008217643	0.0008244685	0.00082170067	0.00084084936	0.0008245331	0.00082180585	0.0008189677	0.000827259	0.0008326899	0.0008216876	0.000824473	0.0008298418	0.00081621844	0.0008190477	0.00082174904	0.00082443154	0.00082440086	0.0008271912	0.00082159333	0.0008325406	0.00082443526	0.00081898214	0.00081618805	0.0008325484	0.0008245594	0.0008354099	0.00082418235	0.00081082067
0.0027931097	0.002792923	0.0028023038	0.0028723322	0.002797072	0.0028022418	0.0027934783	0.002782882	0.0027932138	0.002820913	0.0027838848	0.0027745955	0.0027744055	0.0028211314	0.002765209	0.0027931721	0.002783732	0.0028305184	0.002839426	0.0027930185	0.002765209	0.0028024514	0.0028217812	0.0028026	0.0028389913	0.0028116498	0.0027837115	0.0027836128	0.002783731	0.0028118298	0.0028399453	0.0027930264	0.00282086	0.0028304746	0.002858546	0.0028301985	0.0027929542	0.00280232	0.0027931344	0.0027936655	0.3724177	0.0028581528	0.002802531	0.0028117532	0.002802314	0.0028676183	0.0028119737	0.0028026726	0.0027929933	0.00282127	0.0028397916	0.0028022693	0.0028117686	0.0028300784	0.0027836175	0.0027932662	0.43662998	0.0028116272	0.0028115225	0.002821039	0.002801948	0.0028392824	0.00281164	0.0027930427	0.0027835139	0.002839309	0.0028120633	0.0028490676	0.0028107774	0.002765209
0.0023259178	0.0023257623	0.002333574	0.002391889	0.0023292175	0.0023335225	0.0023262247	0.0023174009	0.20498012	0.0023490705	0.37010998	0.0023105005	0.0023103422	0.0023492526	0.002302684	0.00232597	0.0023181087	0.0023570694	0.002364487	0.002325842	0.002302684	0.002333697	0.0023497934	0.0023338206	0.002364125	0.0023413568	0.0023180917	0.0023180093	0.002318108	0.0023415065	0.0023649193	0.0023258484	0.0023490265	0.0023570328	0.002380409	0.002356803	0.0023257884	0.0023335875	0.0023259383	0.0023263807	0.0023182996	0.0023800815	0.0023337633	0.002341443	0.0023335826	0.0023879637	0.0023416264	0.002333881	0.002325821	0.0023493678	0.0023647915	0.26822314	0.0023414558	0.002356703	0.0023180132	0.0023260482	0.0023337197	0.0023413382	0.002341251	0.0023491753	0.0023332776	0.0023643675	0.0023413487	0.0023258622	0.002317927	0.0023643896	0.0023417012	0.0023725159	0.0023406304	0.002302684
0.0011608676	0.00116079	0.0011646887	0.0011937938	0.0011625144	0.001164663	0.0011610207	0.0011566167	0.0011609108	0.0011724231	0.0011570335	0.0011531728	0.0011530938	0.0011725139	0.0011492715	0.0011608936	0.26451147	0.0011764154	0.0011801175	0.0011608297	0.0011492715	0.0011647501	0.001172784	0.0011648119	0.0011799368	0.0011685732	0.15609966	0.0011569205	0.0011569697	0.001168648	0.501198	0.001160833	0.0011724011	0.0011763972	0.0011880642	0.0011762824	0.001160803	0.0011646956	0.0011608779	0.0011610986	0.0011570653	0.0011879007	0.0011647833	0.0011686161	0.001164693	0.0011918347	0.0011687077	0.001164842	0.0011608192	0.0011725714	0.0011802694	0.0011646745	0.0011686225	0.0011762325	0.0011569224	0.0011609327	0.0011647616	0.0011685638	0.0011685203	0.0011724754	0.0011645409	0.0011800578	0.0011685691	0.0011608398	0.0011568794	0.0011800688	0.0011687451	0.0011841247	0.0011682106	0.0011492715
0.0010714206	0.001071349	0.0010749474	0.0011018099	0.0010729405	0.0010749237	0.0010715621	0.0010674973	0.0010714605	0.0010820858	0.0010678819	0.0010643187	0.0010642458	0.0010821696	0.0010607181	0.0010714446	0.0010678234	0.0010857704	0.0010891873	0.0010713856	0.0010607181	0.001075004	0.0010824188	0.001075061	0.0010890205	0.0010785325	0.0010678156	0.0010677776	0.001067823	0.0010786016	0.0010893864	0.0010713887	0.0010820655	0.0010857537	0.9257054	0.0010856477	0.001071361	0.0010749536	0.0010714302	0.0010716339	0.0010679113	0.0010963707	0.0010750346	0.0010785721	0.0010749514	0.0011000017	0.0010786568	0.0010750889	0.001071376	0.0010822227	0.0010893275	0.0010749341	0.0010785781	0.0010856016	0.0010677795	0.0010714807	0.0010750146	0.0010785239	0.0010784836	0.0010821341	0.0010748109	0.0010891322	0.0010785288	0.001071395	0.0010677397	0.0010891424	0.0010786911	0.0010928857	0.0010781978	0.0010607181
0.0023259146	0.002325759	0.0023335707	0.0023918857	0.002329214	0.002333519	0.0023262214	0.0023173976	0.0023260012	0.0023490672	0.0023182326	0.0023104972	0.002310339	0.002349249	0.0023026806	0.0023259665	0.0023181054	0.002357066	0.0023644837	0.0023258384	0.0023026806	0.0023336937	0.0023497902	0.0023338173	0.0023641216	0.0023413533	0.0023180882	0.002318006	0.0023181047	0.0023415033	0.002364916	0.0023258452	0.002349023	0.0023570296	0.0023804056	0.0023567996	0.002325785	0.0023335842	0.002325935	0.0023263774	0.0023182963	0.002380078	0.00233376	0.0023414395	0.0023335791	0.0023879602	0.0023416232	0.0023338778	0.0023258177	0.0023493643	0.002364788	0.8386692	0.0023414523	0.0023566997	0.00231801	0.002326045	0.0023337165	0.0023413347	0.0023412474	0.002349172	0.0023332743	0.002364364	0.0023413454	0.0023258587	0.0023179236	0.002364386	0.002341698	0.0023725126	0.002340627	0.0023026806
0.00028390912	0.00028389014	0.00028484367	0.0002919618	0.0002843119	0.00028483736	0.00028394657	0.00028286953	0.0002839197	0.00028673522	0.00028297145	0.00028202723	0.0002820079	0.00028675742	0.0002810731	0.0002839155	0.0002829559	0.0002877116	0.000288617	0.98030645	0.0002810731	0.00028485866	0.00028682346	0.00028487376	0.0002885728	0.00028579365	0.00028295384	0.0002829438	0.00028295582	0.00028581196	0.00028866978	0.00028390068	0.00028672983	0.00028770714	0.0002905605	0.00028767908	0.0002838933	0.0002848453	0.00028391165	0.0002839656	0.00028297922	0.00029052052	0.00028486675	0.00028580416	0.00028484472	0.00029148266	0.00028582657	0.00028488116	0.0002838973	0.0002867715	0.00028865415	0.00028484015	0.00028580573	0.00028766686	0.00028294427	0.00028392504	0.00028486145	0.00028579138	0.00028578073	0.00028674802	0.0002848075	0.0002886024	0.00028579266	0.0002839023	0.00028293373	0.0002886051	0.0002858357	0.00028959705	0.00028570497	0.0002810731
