id	project_name	processed_title	processed_description	processed_labels	priority_id	type_id	status_name	topic_id	top_terms
13014980	OAK	persistent cache cache path cover documentnodestatecache	possible use segmentnodestore secondary store like cache certain set path kind setup persistent cache cache nodestates cover documentnodestatecache	['secondary-nodestore']	3	4	Closed	10	['store', 'size', 'node', 'implementation', 'current', 'use', 'add', 'property', 'fail', 'revision']
12862325	OAK	boost field work expect	boost support add intention support usecase like quote fulltext search node fulltext content derive multiple field possible boost specific text contribute individual field mean title field boost description title fulltext field mean description fulltext field quote enable user perform search like root content geometrixx outdoor contain result page have keyword title come search result compare keyword find description current implementation set boost add field value fulltext field intention lucene use boost explain work like boost value get multiplie field boost work expect	['doc-impacting']	3	1	Closed	18	['result', 'add', 'implementation', 'node', 'use', 'current', 'repository', 'cause', 'revision', 'new']
13101295	OAK	test failure see upgradeit	noformat run upgradeit apache jackrabbit oak true segmentnodebuilder segmentnodebuilder emptyhook segmentnodebuilder emptyhook commitinfo true null property property property property property property property property property property property property property property property property property property property property apache jackrabbit oak true segmentnodebuilder segmentnodebuilder emptyhook segmentnodebuilder emptyhook commitinfo true null property property property property property property property property property property property property property property property property property property property property apache jackrabbit oak true segmentnodebuilder segmentnodebuilder emptyhook segmentnodebuilder emptyhook commitinfo true null property property property property property property property property property property property property property property property property property property property property apache jackrabbit oak true segmentnodebuilder segmentnodebuilder emptyhook segmentnodebuilder emptyhook commitinfo true null property property property property property property property property property property property property property property property property property property property property test run failure error skip time elapse sec result fail test segment version mismatch expect find expect noformat	['test-failure', 'windows']	1	1	Closed	53	['property', 'new', 'noformat', 'revision', 'state', 'test', 'store', 'remove', 'result', 'fail']
12976334	OAK	remove segment version argument segment writer relate class	segmentwriter related class accept segmentversion argument confusing version store segment segment version field writer actually write segment old version late suggest remove explicit segment version class specify hard code segment version segment version segment tar currently support need support segment version arise future need decide point parametrise segment tar segment version	['refactoring']	3	4	Closed	45	['store', 'remove', 'file', 'time', 'way', 'need', 'currently', 'new', 'cause', 'repository']
13068885	OAK	add unit test coverage writelong readlong	unit test coverage oak common work patch submit shortly	['easyfix', 'patch', 'test']	4	6	Closed	54	['test', 'failure', 'follow', 'code', 'update', 'add', 'node', 'remove', 'result', 'fail']
12930078	OAK	lucene index compatversion search abc work	lucene fulltext index compatversion follow query return result compatversion correct result return noformat select unstructured description abc noformat compatversion search abc work search instead contain work	['docs-impacting']	3	1	Closed	67	['noformat', 'result', 'state', 'update', 'remove', 'node', 'repository', 'way', 'case', 'size']
13078411	OAK	remove unused field	field explicit commit queue introduce	['technical_debt']	4	4	Closed	45	['store', 'remove', 'file', 'time', 'way', 'need', 'currently', 'new', 'cause', 'repository']
12692131	OAK	observer session	mention case single session register multiple observation listener troublesome event deliver concurrently listener case namepathmapper session internal likely suffer lock contention good way avoid listener register single session tie single observer process sequentially improve performance listener leverage content diff listener come single session presumably single client need worry client block work	['observation']	3	4	Resolved	69	['case', 'cause', 'use', 'state', 'noformat', 'index', 'new', 'follow', 'file', 'check']
13047961	OAK	evaluate utility repositorygrowtht benchmark	repositorygrowthtest benchmark make use deprecated segmentfixture remove old oak segment module code associate repositorygrowthtest remove value adapt work new segmenttarfixture	['benchmark']	4	3	Resolved	45	['store', 'remove', 'file', 'time', 'way', 'need', 'currently', 'new', 'cause', 'repository']
13116579	OAK	provide way tune inline size store binary	segmentnodestore currently inline binary size segment external blobstore configure behaviour bit segment tar storage consist blob datum setup segmentstore size inlined binary binary content move blobstore allow repository work well less ram useful way provide disable default behaviour let blobstore control inline size presence blobstore inlining attempt segmentwriter	['performance', 'scalability']	3	4	Closed	8	['size', 'remove', 'need', 'way', 'new', 'result', 'repository', 'failure', 'tar', 'create']
13013446	OAK	segmentrevisiongc mbean report detailed status information	current status show log info useful interesting expose real time status monitor useful know exactly phase field show follow idle estimation compaction compaction compaction compaction forcecompact cleanup	['gc', 'monitoring']	3	4	Closed	46	['time', 'node', 'current', 'case', 'use', 'revision', 'add', 'check', 'update', 'index']
12697726	OAK	fail test mergesortediterator	run oak node clutser follow exception see basically come asynchupdate try update async status concurrently noformat error quartzscheduler exception job execution uncheckedexecutionexception illegalstateexception revisioned value property index async status element iterator great previous iterator uncheckedexecutionexception uncheckedexecutionexception illegalstateexception revisioned value property index async status element iterator great previous iterator cause uncheckedexecutionexception illegalstateexception revisioned value property index async status element iterator great previous iterator common frame omit cause illegalstateexception revisioned value property index async status element iterator great previous iterator common frame omit noformat	['cluster']	3	1	Closed	21	['node', 'add', 'property', 'cause', 'remove', 'index', 'revision', 'current', 'update', 'create']
12993517	OAK	align gcmonitormbean mbean new generation base	gcmonitormbean mbean date old oak segment need review endpoint sense oak segment tar adapt necessary add functionality require specifically think rid time series getrepositorysize getreclaimedsize getrepositorysize confusing change lead caller think return current size repository oppose size cleanup	['production']	3	3	Closed	44	['tar', 'size', 'repository', 'add', 'implementation', 'currently', 'new', 'result', 'fail', 'code']
