topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49
0.019786093	0.019986812	0.019918356	0.019922944	0.020114992	0.019920232	0.019852823	0.021057535	0.020116918	0.019788828	0.019921938	0.02086346	0.020052783	0.019719677	0.02018706	0.020051125	0.019853782	0.019854493	0.01972031	0.019785352	0.01992321	0.020582367	0.019917563	0.02045668	0.019721052	0.019986901	0.019918649	0.019851137	0.01998618	0.020115087	0.020115549	0.019853313	0.020253927	0.019854978	0.019921813	0.019853787	0.020794338	0.0197874	0.01965464	0.019852445	0.020113897	0.019917695	0.019720733	0.01972031	0.020117402	0.020055935	0.019721305	0.01991681	0.01971968	0.020119715
0.004868758	0.0049181487	0.0049013034	0.0049024327	0.00494969	0.004901765	0.004885178	0.75911194	0.0049501634	0.004869431	0.004902185	0.005133865	0.004934382	0.004852415	0.0049674236	0.0049339742	0.0048854137	0.004885589	0.004852571	0.004868576	0.0049024983	0.0050646965	0.0049011083	0.005033769	0.004852753	0.0049181706	0.0049013756	0.004884763	0.004917993	0.004949713	0.004949827	0.0048852987	0.0049838778	0.0048857084	0.0049021547	0.004885415	0.005116856	0.004869079	0.0048364117	0.004885085	0.00494942	0.004901141	0.004852675	0.004852571	0.004950283	0.0049351575	0.0048528155	0.0049009235	0.004852416	0.004950852
0.0038909276	0.003930399	0.003916937	0.0039178394	0.0039556054	0.0039173057	0.00390405	0.8074913	0.003955984	0.0038914657	0.0039176415	0.004102791	0.003943372	0.003877867	0.0039697774	0.003943046	0.0039042386	0.0039043785	0.0038779916	0.0038907821	0.0039178915	0.0040475144	0.003916781	0.0040227985	0.003878137	0.0039304164	0.0039169947	0.0039037184	0.003930275	0.003955624	0.0039557153	0.0039041466	0.003982927	0.0039044737	0.0039176173	0.0039042397	0.0040891985	0.0038911847	0.0038650776	0.0039039755	0.00395539	0.003916807	0.0038780747	0.0038779916	0.0039560795	0.003943992	0.0038781874	0.0039166333	0.0038778677	0.0039565344
0.004868758	0.004918149	0.004901304	0.004902433	0.0049496903	0.27010635	0.004885178	0.0051816218	0.004950164	0.0048694313	0.0049021854	0.0051338654	0.004934382	0.004852415	0.0049674236	0.0049339747	0.004885414	0.0048855892	0.004852571	0.004868576	0.0049024983	0.005064697	0.004901109	0.005033769	0.004852753	0.004918171	0.004901376	0.0048847636	0.0049179937	0.0049497136	0.004949827	0.004885299	0.004983878	0.0048857084	0.0049021547	0.0048854155	0.0051168567	0.0048690797	0.0048364117	0.004885085	0.0049494207	0.0049011414	0.004852675	0.004852571	0.004950283	0.004935158	0.004852816	0.004900924	0.4935781	0.0049508526
0.0019414028	0.0019610971	0.0019543802	0.0019548305	0.0019736742	0.0019545644	0.0019479502	0.8332256	0.001973863	0.0019416711	0.0019547318	0.0020471134	0.0019675703	0.07265588	0.0019807455	0.0019674075	0.0019480443	0.0019481141	0.0019349483	0.0019413301	0.0019548566	0.0020195327	0.0019543024	0.0020072004	0.0019350208	0.001961106	0.001954409	0.0019477848	0.0019610352	0.0019736835	0.0019737289	0.0019479983	0.0019873064	0.0019481616	0.0019547197	0.0019480449	0.0020403313	0.001941531	0.0019285048	0.0019479131	0.0019735666	0.0019543155	0.0019349897	0.0019349483	0.0019739107	0.0019678795	0.0019350458	0.0019542286	0.0019348864	0.0019741375
0.00978881	0.009888113	0.009854244	0.009856515	0.009951527	0.009855173	0.009821823	0.010417833	0.009952479	0.0097901635	0.009856016	0.010321817	0.00992075	0.009755952	0.009987181	0.00991993	0.009822298	0.00982265	0.009756265	0.009788444	0.009856646	0.010182751	0.009853852	0.010120571	0.009756632	0.009888156	0.009854389	0.009820989	0.0098878	0.009951574	0.009951803	0.009822066	0.010020263	0.009822889	0.009855956	0.009822301	0.010287621	0.009789457	0.009723777	0.5150898	0.009950985	0.009853918	0.009756475	0.009756265	0.009952719	0.009922309	0.009756758	0.00985348	0.009755954	0.009953864
0.00047276518	0.00047756112	0.00047592542	0.00047603506	0.00048062383	0.00047597024	0.0004743596	0.0005031448	0.0004806698	0.00047283055	0.00047601102	0.0004985076	0.0004791374	0.00047117827	0.0004823458	0.0004790978	0.0004743825	0.0004743995	0.0004711934	0.0004727475	0.00047604143	0.0004917912	0.00047590648	0.00048878806	0.00047121107	0.00047756324	0.00047593244	0.00047431933	0.00047754604	0.9765868	0.00048063713	0.00047437134	0.00048394353	0.0004744111	0.00047600805	0.00047438263	0.000496856	0.0004727964	0.0004696243	0.00047435056	0.00048059764	0.00047590965	0.00047120347	0.0004711934	0.00048068142	0.00047921273	0.00047121715	0.00047588852	0.00047117835	0.0004807367
0.0048687607	0.0049181515	0.0049013062	0.52066904	0.0049496926	0.0049017677	0.0048851804	0.005181624	0.004950166	0.0048694336	0.0049021877	0.0051338677	0.0049343845	0.0048524174	0.004967426	0.004933977	0.0048854165	0.0048855916	0.0048525734	0.004868578	0.0049025007	0.0050646993	0.004901111	0.0050337715	0.0048527555	0.0049181734	0.0049013784	0.004884766	0.004917996	0.004949716	0.0049498295	0.0048853015	0.0049838806	0.004885711	0.0049021575	0.004885418	0.005116859	0.004869082	0.004836414	0.0048850873	0.004949423	0.0049011437	0.004852677	0.24301612	0.0049502854	0.0049351603	0.0048528183	0.0049009263	0.0048524183	0.004950855
0.0065030325	0.0065690023	0.006546503	0.0065480107	0.0066111307	0.0065471195	0.0065249642	0.0069209137	0.0066117635	0.0065039317	0.00654768	0.0068571274	0.0065906844	0.006481204	0.006634817	0.00659014	0.0065252795	0.0065255133	0.0064814123	0.0065027894	0.0065480983	0.006764741	0.006546242	0.0067234323	0.0064816554	0.0065690316	0.0065465993	0.0065244106	0.0065687946	0.006611162	0.006611314	0.006525126	0.0066567943	0.006525673	0.0065476396	0.0065252814	0.006834409	0.0065034623	0.006459829	0.00652484	0.0066107707	0.006546286	0.006481551	0.0064814123	0.0066119228	0.0065917205	0.67781484	0.0065459954	0.006481205	0.006612683
0.00978881	0.009888113	0.009854244	0.009856515	0.009951527	0.009855173	0.009821823	0.010417833	0.009952479	0.0097901635	0.009856016	0.010321817	0.00992075	0.009755952	0.009987181	0.00991993	0.009822298	0.00982265	0.009756265	0.009788444	0.009856646	0.010182751	0.009853852	0.010120571	0.009756632	0.009888156	0.009854389	0.009820989	0.0098878	0.009951574	0.009951803	0.009822066	0.010020263	0.009822889	0.009855956	0.009822301	0.010287621	0.009789457	0.009723777	0.5150898	0.009950985	0.009853918	0.009756475	0.009756265	0.009952719	0.009922309	0.009756758	0.00985348	0.009755954	0.009953864
