topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29
0.03291389	0.033112675	0.03267874	0.033360664	0.032679375	0.03301872	0.03361431	0.036158085	0.033673614	0.033364564	0.033241924	0.03479873	0.03344546	0.03324474	0.0332409	0.032904554	0.032788612	0.03290358	0.03255686	0.03312856	0.033143956	0.034737583	0.03278532	0.03371736	0.032557223	0.032905094	0.032793753	0.033107802	0.03347953	0.03394379
0.008009983	0.008058361	0.007952757	0.008118712	0.007952913	0.008035496	0.0081804395	0.008799497	0.008194871	0.008119661	0.008089814	0.008468682	0.008139348	0.008090501	0.008089566	0.008007712	0.007979496	0.008007476	0.007923097	0.008062226	0.008065973	0.008453801	0.0079786945	0.008205518	0.007923185	0.008007843	0.007980747	0.008057175	0.7647858	0.008260623
0.0063966606	0.006435294	0.34557506	0.0064834896	0.0063510844	0.006417034	0.0065327846	0.0070271553	0.0065443097	0.0064842477	0.006460413	0.006762971	0.0064999694	0.0064609605	0.006460214	0.0063948464	0.006372314	0.0063946582	0.0063272743	0.47286892	0.0064413734	0.0067510875	0.006371674	0.0065528117	0.006327345	0.0063949516	0.006373313	0.0064343475	0.006506591	0.0065968176
0.008009985	0.008058363	0.007952759	0.008118713	0.007952914	0.008035497	0.008180441	0.008799499	0.008194873	0.008119662	0.008089816	0.008468684	0.0081393495	0.008090502	0.008089568	0.008007713	0.007979498	0.008007477	0.007923098	0.008062228	0.008065974	0.008453803	0.007978696	0.008205519	0.007923187	0.008007845	0.007980748	0.76469535	0.008147641	0.008260624
0.0031870704	0.0032063192	0.003164301	0.0032303322	0.0031643626	0.0031972213	0.0032548928	0.9066707	0.003260635	0.0032307098	0.0032188343	0.003369581	0.003238543	0.0032191072	0.0032187353	0.0031861665	0.0031749401	0.0031860727	0.0031524994	0.0032078573	0.003209348	0.0033636598	0.0031746211	0.0032648712	0.0031525346	0.003186219	0.0031754377	0.0032058475	0.0032418421	0.0032867966
0.016163018	0.016260637	0.016047543	0.016382417	0.016047856	0.016214497	0.016506976	0.017756145	0.016536096	0.016384332	0.016324107	0.017088607	0.016424056	0.01632549	0.016323604	0.016158434	0.0161015	0.016157959	0.015987692	0.016268436	0.016275998	0.01705858	0.016099881	0.016557578	0.5249181	0.016158698	0.016104022	0.016258243	0.016440788	0.016668772
0.00077526964	0.000779952	0.00076973083	0.00078579324	0.0007697458	0.00077773887	0.0007917677	0.000851685	0.00079316454	0.0007858851	0.0007829963	0.0008196661	0.0007877905	0.0007830627	0.0007829722	0.00077504973	0.0007723188	0.0007750269	0.00076686003	0.0007803261	0.0007806887	0.0008182258	0.00077224127	0.000794195	0.0007668686	0.0007750625	0.0007724399	0.0007798372	0.000788593	0.9772451
0.00800998	0.008058357	0.007952753	0.008118709	0.007952909	0.008035492	0.008180437	0.008799493	0.008194868	0.008119658	0.008089812	0.008468678	0.008139344	0.008090497	0.008089562	0.008007708	0.007979493	0.008007472	0.007923094	0.76470053	0.00806597	0.008453798	0.007978692	0.008205514	0.007923182	0.008007839	0.007980743	0.0080571715	0.008147636	0.008260619
0.01071157	0.010776264	0.010635043	0.01085697	0.01063525	0.0107456865	0.010939517	0.011767369	0.010958817	0.01085824	0.010818327	0.0113249775	0.010884566	0.010819244	0.010817993	0.010708532	0.010670801	0.010708217	0.0105953785	0.010781433	0.010786444	0.6858628	0.010669729	0.010973054	0.010595497	0.010708708	0.010672472	0.010774679	0.010895655	0.011046744
0.016163018	0.016260637	0.016047543	0.016382417	0.016047856	0.016214497	0.016506976	0.017756145	0.016536096	0.016384332	0.016324107	0.017088607	0.016424056	0.01632549	0.016323604	0.016158434	0.0161015	0.016157959	0.015987692	0.016268436	0.016275998	0.01705858	0.016099881	0.016557578	0.5249181	0.016158698	0.016104022	0.016258243	0.016440788	0.016668772
