topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29
0.008180148	0.008073822	0.0081780795	0.008025765	0.008124972	0.008555121	0.008476849	0.007989768	0.00790702	0.0081629865	0.007932855	0.0079620825	0.007991628	0.008075109	0.007935897	0.00802158	0.007933113	0.008041799	0.00813256	0.008151783	0.7653734	0.008130077	0.00798892	0.008102038	0.008185779	0.008442652	0.00796174	0.007849384	0.0081533855	0.007959736
0.86654365	0.0045944634	0.0046537924	0.0045671174	0.004623571	0.0048683505	0.0048238095	0.0045466325	0.004499544	0.0046452037	0.004514246	0.0045308783	0.004547691	0.0045951963	0.004515977	0.0045647356	0.004514392	0.004576241	0.004627889	0.004638828	0.0045954096	0.004626476	0.00454615	0.0046105203	0.004658174	0.004804349	0.0045306827	0.004466746	0.00463974	0.0045295423
0.016521072	0.01630633	0.016516894	0.016209273	0.016409636	0.017278388	0.017120305	0.01613657	0.015969446	0.016486412	0.016021624	0.016080655	0.016140327	0.01630893	0.016027771	0.01620082	0.52584773	0.016241655	0.01642496	0.016463783	0.016309686	0.016419945	0.016134858	0.016363315	0.016532445	0.017051239	0.016079962	0.015853044	0.016467022	0.016075915
0.004654964	0.0045944583	0.004653787	0.004567112	0.004623566	0.004868345	0.0048238034	0.004546627	0.004499539	0.0046451986	0.00451424	0.0045308727	0.0045476854	0.0045951908	0.004515972	0.00456473	0.004514387	0.004576236	0.004627884	0.0046388223	0.0045954045	0.004626471	0.004546145	0.8664993	0.0046581686	0.0048043435	0.0045306776	0.004466741	0.0046397345	0.004529537
0.0036160827	0.0035690803	0.0036151682	0.003547837	0.0035916916	0.0037818418	0.003747241	0.003531924	0.0034953447	0.0036084964	0.27886757	0.0035196857	0.0035327463	0.0035696495	0.0035081105	0.0035459867	0.003506879	0.0035549249	0.003595046	0.0036035434	0.0035698153	0.0035939484	0.0035315494	0.0035815535	0.62096983	0.003732124	0.003519534	0.0034698665	0.0036042521	0.003518648
0.0023210563	0.22670338	0.0023204694	0.0022772516	0.0023054006	0.0024274522	0.002405243	0.0022670373	0.0022435582	0.002316187	0.0022508886	0.002259182	0.002267565	0.0022912521	0.0022517522	0.002276064	0.0022509617	0.0022818008	0.0023075535	0.6166944	0.09463257	0.002306849	0.002266797	0.0022988932	0.002322654	0.0023955398	0.0022590845	0.0022272046	0.0023134628	0.002258516
0.0029563017	0.0029178753	0.002955554	0.002900508	0.0029363611	0.0030918168	0.0030635293	0.0028874984	0.0028575931	0.0029500998	0.00286693	0.0028774932	0.0028881705	0.0029183405	0.0028680298	0.0028989953	0.0028670232	0.0029063027	0.0029391034	0.0029460504	0.0029184762	0.002938206	0.0028871922	0.0029280726	0.0029583368	0.91533875	0.002877369	0.0028367639	0.00294663	0.0028766447
0.0020302243	0.0020038353	0.002029711	0.0019919083	0.0020165301	0.0021232886	0.0021038624	0.0019829741	0.0019624368	0.4699031	0.0019688488	0.001976103	0.0019834356	0.0020041547	0.001969604	0.0019908694	0.0019689128	0.0019958876	0.0020184135	0.0020231842	0.0020042479	0.0020177972	0.0019827639	0.0020108381	0.002031622	0.002095375	0.0019760178	0.0019481324	0.4739104	0.0019755203
0.00062364194	0.00061553577	0.0006234842	0.00061187206	0.0006194354	0.0006522293	0.00064626196	0.00060912763	0.000602819	0.41641933	0.00060478866	0.00060701696	0.0006092694	0.0006156339	0.0006050207	0.00061155297	0.00060480833	0.0006130944	0.00062001386	0.56632125	0.0006156625	0.00061982457	0.000609063	0.0006176869	0.0006240712	0.00064365484	0.0006069908	0.000598425	0.0006216016	0.00060683803
0.0018041601	0.0017807094	0.0018037037	0.0017701106	0.0017919907	0.0018868617	0.0018695985	0.001762171	0.0017439206	0.0018003752	0.0017496187	0.0017560651	0.21405375	0.29069608	0.0017502898	0.0017691874	0.0017496755	0.0017736468	0.0017936643	0.0017979039	0.0017810761	0.0017931168	0.0017619842	0.0017869326	0.001805402	0.447127	0.0017559894	0.001731209	0.0017982575	0.0017555474
