id	project_name	assignee_id	processed_title	processed_description	processed_labels	priority_id	type_id	status_name
12666148	CB	2783	new cordova project structure allow ide editing www file level directory	documentation say create project exist code use platform directory root project cordova edit level www folder file prepare build push entry target platform like lose main advantage new process edit file place	['documentation', 'features']	4	1	Closed
12739794	CB	2783	video inline work android	local video play load inline android bug reproduce clone follow repo build android cordova test build repo run app android android android problem include test report android android report include log version information software	['android', 'android.resource', 'inline', 'raw', 'video']	3	1	Closed
12624433	CB	2783	iframe force close app android network connection	iframe open webpage android phonegap app iframe open suddenly network connection fail show error secure connection app force close guide urgent requirement code var iframe	['android', 'phonegap']	3	1	Closed
12599231	CB	2783	onjsalert cordovachromeclient incorrect	mistake line incubator cordova android framework src org apache cordova action cancel user click cancel button	['patch']	2	1	Closed
13101843	CB	2783	patch cordova android project solve fragmentation performance problem cordova application android platform	want patch cordova android project solve fragmentation performance problem cordova application android platform hope support cordoba project team recently cordova application developer feedback tencent kernel team tencent browse service hope cordova android support use kernel solve fragmentation android system performance problem kernel develop base blink core aim solve android fragmentation performance issue compatible android version system user smooth browse experience current number application core exceed number active user million look forward reply email	['patch']	3	4	Closed
12976219	CB	2783	framwork tag android replace module unusable	directory module use framework tag try use replace gradle old gradle correct dependency obviously wrong	['android']	3	1	Closed
12554603	CB	2783	orientationchange event android crash app cordova	crash javascript function crash app load run logcat sqlite return error code msg open file source line init ignore event showstatusicon inactive inputconnection activity leak window originally add windowleake activity leak window originally add method method free free external pause shut thread exit uncaught exception fatal exception main illegalargumentexception view attach window manager method method	['android', 'orientationchange']	3	1	Closed
12645670	CB	2783	method set mediastore image medium orientation value correctly picture take	discover issue test motorola razri device api camera device rotate picture degree mediastore image medium orientation value picture take api hope orientation value right value picture take device camera application workaround provide fix orientation good store orientation mediastore picture view normal orientation picture take device camera application	['android']	4	4	Open
12535585	CB	2783	load blank iframe trigger load external browser android ics	test program load url blank button iframe work second time open external browser system show prompt multiple browser instal select go ahead load blank browser iframe source set set src property element dom node possibly relate behave consistently version work expect load	['iframe']	3	1	Closed
12548936	CB	2783	pad event fire google	javascript call pad event special button event play ffw etc fire phonegap try keypress keydown keyup register override main file like code public boolean keycode keyevent event webview mywebview webview keycode keyevent return true keycode keyevent return true keycode keyevent return true keycode keyevent return true keycode keyevent keycode keyevent return true keycode keyevent keycode keyevent return true keycode keyevent return true keycode keyevent return true keycode keyevent return true keycode keyevent return true keycode keyevent return true keycode keyevent return true return event javascript daletecla keypress handler receive call fire consistent behavior	['google', 'tv']	4	1	Closed
13103235	CB	2783	add option allow move app card	currently card option android disable default create hook edit manifest allow move card code javascript bin env node add line android manifest const text android allow move app card manifest const manifest platform android var manifesttext manifesttext manifesttext code compile windows universal time android manifest build fail annoying use hook essential feature	['android', 'config.xml', 'features']	4	5	Closed
12599268	CB	2783	type kill crash app	simple html page consist default android keyboard swype keyboard impossible type number app crash horrible memory dump show logcat include fatal signal sigsegv thread webviewcorethre absolutely critical flaw work fine android test code normal webview work fine android phonegap log free free paused total dalvikvm heap grow heap frag case byte allocation dalvikvm free free pause total dalvikvm free free pause total webcoreglue layer size renderview size layer size renderblock html size renderbody body size rendertextcontrol input size border inset rendertext text size layer size renderblock div size caret position child div child input body libc fatal signal sigsegv thread webviewcorethre debug debug build fingerprint google yakju user release key debug pid tid webviewcorethre debug stack debug debug lib debug debug lib debug lib debug debug lib debug debug debug debug debug debug debug lib debug debug debug debug ashmem dalvik linearalloc delete debug debug debug debug ashmem dalvik linearalloc delete debug debug debug debug debug debug lib debug debug debug ashmem dalvik heap delete debug debug debug lib int const jvalue method const debug debug framework debug memory near debug debug debug debug debug debug memory near debug debug debug debug debug debug memory near debug ffffffff debug ffffffff debug layer debug ize debug nderview debug memory near debug debug debug debug debug debug memory near debug debug debug sta debug debug debug memory near debug debug sta debug debug sta debug debug memory near debug ffffffff ffffffff debug debug debug debug debug memory near debug debug sta debug debug debug ffffbfff debug memory near debug debug debug debug debug debug debug debug debug code debug debug ydzd debug debug ntf debug bootreceiver copying tombstone dropbox windowstate win death pause false activitymanager process pid die zygote process terminate signal activitymanager force remove app die save state inputmethodmanagerservice got remoteexception send notification pid uid	['keyboard']	2	1	Closed
13099856	CB	2783	sap input maxlength issue	create hello world app var new maxlength hello world app work fine desktop use cordova compile android maxlength work properly type character like long enter space enter maxlength character enter space string truncate maxlength desktop version app available workaround add livechange event input control follow var new livechange function event event maxlength function event len reason value need clear change	['ui5']	4	1	Closed
12546057	CB	2783	ondeviceready false work late build	take late build compile take build deviceready listener stop work	['build', 'features']	3	1	Closed
12970031	CB	2783	object object object method retrievejsmessage	airbrake able report error happen far www error type typeerror error message object object object method retrievejsmessage user agent android backtrace www pollonce www polloncefromonlineevent	['triaged']	4	1	Open
12701306	CB	2783	allow cordova android use different type webviews	android webview externality developer want depend ongoing pain point say want web open instead work webview allow interface party layout engine able bundle cordova cordova include project crosswalk geckoview currently poc exist	['android']	3	2	Closed
12557078	CB	2783	cordova example application camera exit return control phonegap application	cordova example application getpicture correctly invoke standard default camera select cancel approval camera app invoke call phonegap application feel free contact require information	['android', 'camera']	3	1	Closed
13161372	CB	2783	statusbar plugin work correctly samsung	cordova project instal statusbar plugin color status bar device android platform plugin display correct status bar color run project avd run device appear work notice run project device plug uninstalled view take entire screen run plugin instal black space app view phone nav bar status bar update turn portrait mode coloured status bar appear incorrectly device samsung run android oreo cordova version statusbar plugin version cordova whitelist plugin code code java var app initialize function false ondeviceready function receivedevent code	['features', 'plug-in', 'plugin']	3	1	Closed
12664175	CB	2783	custom url scheme support	phonegap support custom url scheme functionality appear cordova custom url schemes section	['features']	4	2	Closed
