topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89
0.0007331843	0.00073554466	0.00073320384	0.0007355625	0.00073319074	0.000730822	0.0007474371	0.00074028934	0.0007427089	0.0007331843	0.00073319074	0.000730822	0.0007355625	0.00073318445	0.0007402967	0.00073319074	0.0007332001	0.0007355504	0.00073791546	0.00073319074	0.00074026285	0.0007331843	0.00073319074	0.0007331908	0.00073318434	0.0007379238	0.8699239	0.000733207	0.00073319074	0.0007355531	0.00073319074	0.0007355523	0.000730822	0.0007403657	0.00073556247	0.0007331758	0.0007355625	0.0007331843	0.0007402889	0.0007331843	0.0007379313	0.0007355625	0.0007331843	0.00073319074	0.00073793513	0.000733207	0.0007331843	0.000730822	0.0653748	0.0007355531	0.000730822	0.00073557487	0.00074748934	0.0007426793	0.0007331843	0.0007355531	0.00073317584	0.000730822	0.0007308247	0.0007355531	0.0007403272	0.000735547	0.00073319074	0.0007403199	0.00073557836	0.000730822	0.0007331958	0.0007331764	0.0007379664	0.00073556986	0.00074269925	0.0007332011	0.0007355647	0.0007355889	0.000730822	0.0007331958	0.000730822	0.00073793455	0.00073320384	0.00073558633	0.0007379702	0.0007331619	0.0007309051	0.0007355571	0.00073319074	0.00073319074	0.000733185	0.0007426705	0.0007379754	0.0007379634
0.00551768	0.005535444	0.0055178273	0.005535578	0.0055177286	0.0054999026	0.0056249416	0.00557115	0.005589359	0.00551768	0.0055177286	0.0054999026	0.005535578	0.0055176816	0.0055712056	0.0055177286	0.0055177994	0.0055354866	0.005553285	0.0055177286	0.005570951	0.00551768	0.0055177286	0.005517729	0.0055176807	0.005553348	0.005554089	0.005517851	0.0055177286	0.005535507	0.0055177286	0.0055355006	0.0054999026	0.005571725	0.0055355774	0.005517616	0.005535578	0.00551768	0.0055711465	0.00551768	0.0055534043	0.005535578	0.00551768	0.0055177286	0.0055534337	0.005517851	0.00551768	0.0054999026	0.0055536292	0.005535507	0.0054999026	0.005535671	0.005625335	0.005589136	0.00551768	0.005535507	0.0055176164	0.0054999026	0.005499923	0.005535507	0.005571435	0.005535461	0.5074911	0.0055713803	0.005535697	0.0054999026	0.005517767	0.005517621	0.005553669	0.005535633	0.0055892863	0.005517807	0.005535594	0.0055357763	0.0054999026	0.005517767	0.0054999026	0.0055534285	0.0055178273	0.005535757	0.0055536972	0.0055175116	0.005500528	0.005535537	0.0055177286	0.0055177286	0.0055176853	0.00558907	0.0055537364	0.005553646
0.0055176797	0.0055354433	0.005517827	0.0055355774	0.005517728	0.005499902	0.0056249416	0.0055711498	0.0055893585	0.0055176797	0.005517728	0.005499902	0.0055355774	0.005517681	0.005571205	0.005517728	0.005517799	0.005535486	0.005553285	0.005517728	0.005570951	0.0055176797	0.005517728	0.0055177286	0.00551768	0.0055533475	0.0055540884	0.0055178506	0.005517728	0.0055355066	0.005517728	0.0055355	0.005499902	0.0055717244	0.005535577	0.507491	0.0055355774	0.0055176797	0.005571146	0.0055176797	0.0055534043	0.0055355774	0.0055176797	0.005517728	0.005553433	0.0055178506	0.0055176797	0.005499902	0.005553629	0.0055355066	0.005499902	0.0055356706	0.0056253346	0.0055891355	0.0055176797	0.0055355066	0.005517616	0.005499902	0.0054999227	0.0055355066	0.0055714347	0.0055354605	0.005517728	0.00557138	0.0055356966	0.005499902	0.005517767	0.0055176206	0.0055536684	0.005535633	0.0055892863	0.0055178064	0.0055355937	0.0055357763	0.005499902	0.005517767	0.005499902	0.0055534285	0.005517827	0.005535757	0.005553697	0.0055175116	0.0055005276	0.005535537	0.005517728	0.005517728	0.005517685	0.00558907	0.005553736	0.005553646
0.0022018598	0.0022089484	0.0022019185	0.002209002	0.0022018792	0.0021947655	0.21131115	0.0022231974	0.0022304635	0.0022018598	0.20251681	0.0021947655	0.002209002	0.0022018603	0.0022232195	0.0022018792	0.0022019073	0.0022089656	0.0022160683	0.0022018792	0.002223118	0.0022018598	0.0022018792	0.0022018794	0.00220186	0.0022160932	0.002216389	0.002201928	0.0022018792	0.0022089737	0.0022018792	0.0022089712	0.0021947655	0.0022234267	0.002209002	0.0022018342	0.002209002	0.0022018598	0.002223196	0.0022018598	0.0022161158	0.002209002	0.39408028	0.0022018792	0.0022161275	0.002201928	0.0022018598	0.0021947655	0.0022162055	0.0022089737	0.0021947655	0.0022090392	0.0022448201	0.0022303746	0.0022018598	0.0022089737	0.0022018345	0.0021947655	0.0021947739	0.0022089737	0.002223311	0.0022089554	0.0022018792	0.002223289	0.0022090496	0.0021947655	0.0022018945	0.0022018363	0.0022162213	0.002209024	0.0022304347	0.0022019104	0.0022090084	0.0022090813	0.0021947655	0.0022018945	0.0021947655	0.0022161256	0.0022019185	0.0022090736	0.0022162327	0.0022017926	0.002195015	0.0022089859	0.0022018792	0.0022018792	0.002201862	0.0022303483	0.0022162483	0.0022162122
0.0008460497	0.00084877346	0.0008460723	0.00084879406	0.00084605714	0.00084332377	0.0008624966	0.00085424853	0.0008570405	0.0008460497	0.00084605714	0.00084332377	0.00084879406	0.0008460499	0.00085425697	0.00084605714	0.00084606797	0.00084878004	0.0008515092	0.00084605714	0.000854218	0.0008460497	0.00084605714	0.00084605726	0.00084604975	0.0008515188	0.00085163245	0.00084607594	0.00084605714	0.00084878324	0.00084605714	0.0008487822	0.00084332377	0.0008543366	0.00084879395	0.00084603985	0.00084879406	0.0008460497	0.00085424795	0.0008460497	0.0008515275	0.00084879406	0.0008460497	0.00084605714	0.0008515319	0.22426528	0.0008460497	0.00084332377	0.00085156196	0.00084878324	0.00084332377	0.0008488083	0.00086255686	0.00085700635	0.0008460497	0.00084878324	0.00084603997	0.00084332377	0.00084332697	0.00084878324	0.0008542922	0.00084877614	0.38508964	0.0008542838	0.00084881234	0.00084332377	0.18587045	0.00084604067	0.000851568	0.0008488025	0.0008570294	0.00084606913	0.00084879657	0.0008488245	0.00084332377	0.13179433	0.00084332377	0.0008515312	0.0008460723	0.00084882154	0.0008515724	0.0008460239	0.0008434197	0.0008487878	0.00084605714	0.00084605714	0.0008460505	0.0008569962	0.00085157837	0.0008515645
0.0027534077	0.002762272	0.0027534813	0.002762339	0.002753432	0.0027445364	0.002806933	0.0027800903	0.0027891765	0.0027534077	0.002753432	0.0027445364	0.002762339	0.0027534084	0.0027801178	0.002753432	0.0027534673	0.0027622934	0.0027711752	0.002753432	0.002779991	0.0027534077	0.002753432	0.0027534321	0.002753408	0.0027712067	0.0027715764	0.0027534931	0.002753432	0.0027623037	0.002753432	0.0027623004	0.0027445364	0.002780377	0.0027623388	0.0027533758	0.002762339	0.0027534077	0.0027800885	0.0027534077	0.0027712348	0.002762339	0.0027534077	0.002753432	0.0027712493	0.0027534931	0.0027534077	0.0027445364	0.002771347	0.0027623037	0.0027445364	0.0027623854	0.0028071292	0.0027890652	0.0027534077	0.0027623037	0.002753376	0.0027445364	0.0027445466	0.0027623037	0.0027802323	0.0027622806	0.002753432	0.002780205	0.0027623984	0.0027445364	0.0027534512	0.0027533784	0.0027713666	0.0027623666	0.0027891404	0.002753471	0.0027623472	0.0027624383	0.0027445364	0.0027534512	0.0027445364	0.002771247	0.0027534813	0.75423944	0.0027713808	0.0027533239	0.0027448486	0.0027623188	0.002753432	0.002753432	0.0027534103	0.0027890324	0.0027714004	0.0027713554
0.0018344	0.0018403057	0.001834449	0.0018403503	0.0018344162	0.0018284897	0.0018700601	0.0018521767	0.0018582303	0.0018344	0.0018344162	0.0018284897	0.0018403503	0.0018344005	0.001852195	0.0018344162	0.0018344397	0.00184032	0.0018462373	0.0018344162	0.0018521105	0.0018344	0.0018344162	0.0018344164	0.0018344002	0.0018462582	0.0018465045	0.0018344569	0.0018344162	0.0018403268	0.0018344162	0.0018403246	0.0018284897	0.0018523677	0.0018403501	0.0018343787	0.0018403503	0.0018344	0.0018521755	0.0018344	0.0018462769	0.0018403503	0.0018344	0.0018344162	0.0018462866	0.0018344569	0.0018344	0.0018284897	0.0018463517	0.0018403268	0.0018284897	0.0018403812	0.0018701908	0.0018581562	0.0018344	0.0018403268	0.0018343789	0.0018284897	0.0018284966	0.0018403268	0.0018522714	0.0018403115	0.8362612	0.0018522531	0.0018403899	0.0018284897	0.001834429	0.0018343804	0.0018463647	0.0018403686	0.0018582062	0.0018344421	0.0018403557	0.0018404163	0.0018284897	0.001834429	0.0018284897	0.0018462851	0.001834449	0.0018404099	0.0018463742	0.0018343441	0.0018286976	0.0018403368	0.0018344162	0.0018344162	0.0018344017	0.0018581343	0.0018463873	0.0018463572
0.0036736222	0.003685449	0.0036737202	0.0036855384	0.0036736545	0.003661786	0.003745036	0.0037092222	0.0037213452	0.0036736222	0.0036736545	0.003661786	0.0036855384	0.003673623	0.003709259	0.0036736545	0.0036737015	0.0036854777	0.0036973278	0.0036736545	0.0037090895	0.0036736222	0.0036736545	0.0036736547	0.0036736224	0.0036973695	0.0036978628	0.003673736	0.0036736545	0.0036854914	0.0036736545	0.003685487	0.003661786	0.0037096047	0.003685538	0.0036735795	0.0036855384	0.0036736222	0.0037092196	0.0036736222	0.0036974072	0.0036855384	0.0036736222	0.0036736545	0.0036974265	0.003673736	0.0036736222	0.003661786	0.003697557	0.0036854914	0.003661786	0.0036856004	0.003745298	0.003721197	0.0036736222	0.0036854914	0.0036735798	0.003661786	0.0036617997	0.0036854914	0.0037094117	0.0036854604	0.33788297	0.0037093754	0.0036856176	0.003661786	0.0036736801	0.003673583	0.003697583	0.003685575	0.003721297	0.0036737064	0.0036855491	0.0036856707	0.003661786	0.0036736801	0.003661786	0.0036974233	0.0036737202	0.0036856579	0.003697602	0.0036735102	0.0036622025	0.0036855112	0.0036736545	0.3378827	0.0036736256	0.003721153	0.0036976282	0.003697568
0.011079086	0.011114755	0.011079382	0.011115024	0.011079184	0.01104339	0.01129446	0.011186451	0.011223013	0.011079086	0.011079184	0.01104339	0.011115024	0.011079089	0.011186562	0.011079184	0.011079325	0.01111484	0.011150579	0.011079184	0.01118605	0.011079086	0.011079184	0.011079185	0.011079087	0.011150705	0.011152193	0.01107943	0.011079184	0.011114882	0.011079184	0.011114869	0.01104339	0.011187605	0.011115023	0.0110789575	0.011115024	0.011079086	0.011186443	0.011079086	0.011150818	0.011115024	0.011079086	0.011079184	0.011150877	0.01107943	0.011079086	0.01104339	0.01115127	0.011114882	0.01104339	0.01111521	0.011295249	0.011222565	0.011079086	0.011114882	0.011078958	0.01104339	0.011043431	0.011114882	0.011187023	0.011114789	0.011079184	0.011186913	0.011115263	0.01104339	0.011079261	0.011078968	0.011151348	0.011115135	0.011222866	0.011079341	0.011115056	0.0111154225	0.01104339	0.011079261	0.01104339	0.011150867	0.011079382	0.011115384	0.011151406	0.011078749	0.011044647	0.011114942	0.011079184	0.011079184	0.011079096	0.011222432	0.011151485	0.011151304
0.00035467002	0.00035581182	0.00035467948	0.00035582046	0.00035467313	0.00035352728	0.00036156466	0.000358107	0.00035927744	0.00035467002	0.00035467313	0.00035352728	0.00035582046	0.0003546701	0.00035811056	0.00035467313	0.00035467767	0.00035581458	0.00035695868	0.00035467313	0.0003580942	0.00035467002	0.00035467313	0.00035467316	0.00035467005	0.0003569627	0.9683444	0.00035468102	0.00035467313	0.00035581592	0.00035467313	0.0003558155	0.00035352728	0.00035814394	0.00035582043	0.00035466588	0.00035582046	0.00035467002	0.00035810677	0.00035467002	0.00035696634	0.00035582046	0.00035467002	0.00035467313	0.0003569682	0.00035468102	0.00035467002	0.00035352728	0.00035698077	0.00035581592	0.00035352728	0.00035582643	0.00036158995	0.0003592631	0.00035467002	0.00035581592	0.0003546659	0.00035352728	0.0003535286	0.00035581592	0.0003581253	0.00035581295	0.00035467313	0.0003581218	0.00035582812	0.00035352728	0.0003546756	0.00035466623	0.0003569833	0.000355824	0.0003592728	0.00035467817	0.0003558215	0.00035583324	0.00035352728	0.0003546756	0.00035352728	0.0003569679	0.00035467948	0.000355832	0.00035698514	0.0003546592	0.0003535675	0.00035581784	0.00035467313	0.00035467313	0.00035467034	0.00035925888	0.00035698767	0.00035698188
